PopulationId,OneIns,MoreIns,NoIns
348,3293,868,363
349,4202,949,390
350,1363,119,191
351,2831,387,96
352,2445,416,694
353,4353,544,148
354,4911,1173,535
355,2230,434,231
356,3666,593,228
357,3223,733,272
358,15,0,13
359,83,0,0
360,521,17,53
361,0,0,0
362,748,187,267
363,2312,1484,374
364,921,373,384
365,3118,1215,400
366,1143,486,201
367,3100,1086,496
368,2945,649,441
369,2555,1329,473
370,2745,1601,513
371,1661,756,257
372,2691,784,519
373,3076,407,622
374,3561,976,1305
375,2886,701,868
376,2074,815,479
377,2989,710,695
378,1789,170,404
379,5053,1123,1003
380,2900,499,392
381,3030,310,625
382,2574,532,382
383,2477,388,531
384,2993,630,721
385,3412,659,948
386,3630,903,1089
387,1922,396,127
388,4458,873,958
389,4092,1218,374
390,2964,747,1232
391,2529,607,839
392,2133,439,596
393,2486,680,1004
394,4075,1032,439
395,4139,595,796
396,3482,733,676
397,2904,1727,624
398,1591,823,524
399,2204,861,311
400,3123,1792,776
401,1983,1060,422
402,3494,1454,701
403,2826,1140,631
404,2154,1693,544
405,3025,1538,503
406,2853,1047,1148
407,3214,649,624
408,1478,723,234
409,2125,1014,407
410,3432,1137,687
411,2779,546,839
412,2107,757,323
413,2512,728,409
414,2444,591,466
415,2967,1139,318
416,2511,957,544
417,2699,996,816
418,2054,434,466
419,2133,598,337
420,2624,803,1061
421,2192,647,551
422,2752,1373,787
423,3641,1057,515
424,2409,1344,537
425,2597,1035,372
426,6719,2325,1048
427,3755,1372,551
428,3766,1421,831
429,2219,1029,396
430,2017,938,535
431,1015,504,79
432,230,211,13
433,3443,678,1089
434,3296,1045,831
435,3873,736,1419
436,1408,510,365
437,1368,512,647
438,2265,1024,735
439,4609,958,1145
440,3108,401,477
441,4643,686,659
442,6640,913,1295
443,4999,645,787
444,8455,977,964
445,6526,719,1002
446,7983,1558,1187
447,8683,1263,699
448,6309,628,357
449,7411,1079,379
450,3554,908,486
451,5112,2541,254
452,3367,515,138
453,790,264,218
454,2819,775,319
455,3111,649,309
456,6005,472,561
457,4318,778,1237
458,1857,689,374
459,3724,542,859
460,2079,555,373
461,2934,1073,351
462,3660,517,962
463,2493,392,492
464,2715,466,853
465,2862,706,558
466,4112,912,1424
467,4375,1515,800
468,3467,561,292
469,2294,446,358
470,4243,558,1365
471,3819,596,883
472,1366,447,436
473,5035,1373,1188
474,2677,636,391
475,5882,1278,873
476,2215,340,614
477,3984,704,728
478,1288,272,535
479,3758,804,1520
480,4098,446,1127
481,4486,578,848
482,4991,920,1359
483,4195,535,1792
484,2518,282,294
485,530,95,163
486,1861,248,307
487,2244,517,276
488,5681,966,848
489,2946,437,727
490,2771,237,118
491,5225,765,377
492,4635,1220,641
493,5590,985,185
494,3342,744,152
495,4235,522,700
