Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
1032,5473,86,0,1192,0,0
676,2465,6,0,579,29,0
362,2819,12,11,345,50,6
835,2904,25,0,736,0,0
1242,3577,24,0,744,0,22
1216,3199,2,0,1079,0,0
1093,1511,78,0,1151,0,48
396,2900,174,0,399,0,9
985,3678,10,17,562,0,47
685,2355,53,8,846,0,0
2262,1910,38,0,687,0,47
2068,2429,126,96,838,0,0
817,3036,0,0,573,0,0
1546,2237,83,12,406,0,0
2034,1492,236,0,512,0,0
1081,2005,144,0,291,0,0
493,4328,11,13,772,0,20
1281,3137,150,0,520,0,0
659,3408,142,0,445,0,7
250,2089,0,0,317,0,16
651,2226,14,0,406,0,0
1824,972,122,0,371,0,8
2342,2300,84,0,1517,0,102
601,1229,60,0,357,0,8
404,1776,41,0,184,8,0
1191,4580,70,46,1101,0,322
953,3845,171,0,250,0,12
1497,2910,47,25,562,0,0
2270,2944,21,0,735,0,0
1456,2137,2,0,368,0,0
1537,1762,60,0,506,23,35
1074,1767,29,0,136,0,0
967,2327,76,0,310,0,0
283,1704,46,0,180,0,0
1129,3429,73,0,480,0,0
1336,4428,189,0,964,0,12
1016,3754,234,0,572,0,141
1648,1403,32,0,244,12,85
2059,799,149,12,575,0,0
0,0,0,0,0,0,0
7116,601,152,38,50,5,12
3065,246,29,0,111,21,0
5226,457,38,0,58,181,67
6231,255,26,16,42,0,0
1435,3761,240,0,653,0,26
465,1622,182,0,991,0,9
996,3465,51,0,820,0,0
970,3182,68,0,266,0,14
966,1215,91,0,588,0,0
1467,3679,342,12,1006,0,102
1080,2827,24,0,442,0,0
1255,2013,326,0,352,0,0
451,3455,93,8,287,0,8
421,1444,30,0,131,0,0
2785,1021,15,7,234,0,0
2382,1128,321,47,768,0,11
1742,766,127,0,529,0,0
791,3276,252,14,821,0,13
1495,2077,149,34,569,0,0
680,2260,5,11,208,8,0
942,2588,218,34,190,0,0
1100,3506,74,0,316,0,0
1173,1415,58,0,219,0,0
840,2026,41,0,125,0,132
1925,2212,24,18,379,17,0
2191,2548,210,30,505,0,0
533,1324,94,22,430,0,0
1478,2695,61,0,1393,0,0
2018,2991,359,85,412,0,0
2535,2322,72,0,555,0,0
2496,2360,361,88,503,1,15
1918,2552,37,22,629,0,0
2552,2382,350,27,231,0,20
670,1918,39,0,86,0,0
1055,2502,297,5,344,0,0
1870,1476,515,0,523,3,0
2988,1419,472,30,645,57,7
1774,5174,86,0,616,4,0
801,2089,237,10,809,9,13
747,3532,247,72,604,0,19
1287,829,299,0,772,0,31
1206,2065,311,0,589,0,0
3534,196,819,0,414,0,0
3495,745,323,4,416,4,0
4156,1218,772,0,492,0,206
4274,562,227,0,610,0,5
3568,574,345,3,161,0,0
3649,236,198,0,6,0,29
4072,1230,453,0,821,0,0
3458,1122,229,11,502,0,0
448,991,110,0,390,0,0
2332,13,339,0,120,78,0
3712,99,359,35,281,0,0
4704,328,64,0,292,30,0
5421,479,126,8,640,0,0
4909,1694,488,109,374,0,0
5384,445,379,0,105,0,0
3285,476,667,7,282,0,0
2430,697,245,0,114,0,0
3102,207,396,0,487,0,0
4987,104,25,0,100,0,6
3079,143,21,0,214,0,0
3568,173,164,0,436,0,0
4952,302,407,25,583,0,5
3357,114,433,0,390,215,0
2878,300,43,24,87,0,0
5463,714,332,0,786,0,0
119,346,141,0,153,0,0
879,540,52,0,1160,0,0
740,560,79,0,3542,0,33
163,331,18,0,1531,95,0
1827,931,240,14,1822,0,20
2080,2079,394,0,2715,0,11
1324,1099,554,10,1342,0,0
1876,1283,781,55,1896,0,17
907,999,406,26,1906,0,0
937,836,20,0,3431,0,17
1661,1585,243,0,2360,278,51
755,1090,70,0,1846,0,0
652,1134,27,0,3340,0,0
726,1272,176,101,4152,148,0
886,1330,191,11,2472,16,0
1752,643,106,0,2800,0,31
798,523,111,0,2142,0,14
703,372,183,0,3649,0,0
268,436,43,0,1720,0,12
239,304,0,7,1173,0,0
553,530,74,0,1742,0,0
320,266,32,0,1389,0,8
1186,439,222,22,4245,0,0
546,588,61,0,382,0,18
3411,2354,243,0,881,0,0
1811,1140,198,0,375,0,0
2067,1836,170,0,602,0,12
2575,1595,124,28,527,21,0
3849,1029,220,0,513,0,0
2597,2157,353,0,795,12,0
3226,1874,99,0,505,0,0
1683,1263,95,0,212,0,0
2020,2244,166,28,223,0,0
2911,1333,66,21,480,0,0
5043,628,95,0,304,0,0
3100,521,56,6,167,0,36
1963,1056,114,19,482,9,7
5077,354,166,0,296,0,44
1636,240,18,0,57,0,13
3322,335,23,0,219,4,0
3543,675,11,10,699,0,0
2206,204,85,0,24,0,0
2265,455,27,10,407,0,0
4071,351,109,0,343,0,0
1444,55,23,0,8,0,0
4602,190,6,0,791,0,0
5370,68,131,0,1116,0,0
2996,55,0,0,276,0,0
5385,297,255,16,1499,0,0
3144,251,169,45,1001,106,0
1333,132,14,3,215,0,6
4545,102,73,12,1084,0,0
2973,106,0,0,1212,0,0
1935,165,29,39,466,0,0
5543,172,38,0,605,0,0
3209,90,0,4,230,0,0
3574,310,27,51,766,11,0
3641,199,83,0,762,0,0
4203,91,32,23,864,2,0
4151,106,27,236,766,0,0
2182,243,12,0,809,36,0
2418,486,101,0,570,0,0
4405,626,101,0,880,0,0
4711,797,0,37,215,23,0
3966,1065,240,81,1084,0,0
3473,945,108,0,845,0,0
2602,528,54,0,373,0,0
3309,667,60,0,791,0,0
4231,1057,135,23,378,0,0
2466,737,239,0,448,0,0
3319,1493,149,9,401,0,0
1979,964,211,10,245,0,27
3198,1733,120,0,312,0,28
3495,1059,332,28,802,0,22
2191,1073,141,0,2153,0,0
1123,706,46,0,172,0,0
1118,391,4,0,510,0,0
1308,436,149,0,616,0,0
4081,1020,480,0,806,0,0
3158,796,428,0,978,11,0
3566,725,63,0,1102,0,0
2392,322,134,0,557,0,0
3551,941,256,9,1317,0,0
3273,664,19,0,1179,0,0
3761,306,48,0,398,0,0
2761,179,82,4,432,0,0
4997,286,46,23,412,0,0
3238,31,32,0,470,0,30
4743,119,12,0,238,0,0
4818,140,63,0,608,0,0
6577,361,72,0,200,0,0
3988,250,27,0,485,0,0
2998,327,130,31,231,0,0
1131,172,65,18,646,0,0
3379,459,221,0,385,16,0
3583,214,0,6,479,0,0
3527,78,29,0,554,16,18
3725,235,17,0,253,0,0
4315,67,189,0,546,0,0
5056,357,51,18,1004,0,0
3878,274,30,0,661,0,0
3071,256,60,0,423,0,0
3860,533,265,29,1457,0,81
2928,482,162,0,1211,0,0
982,375,42,0,887,0,53
2079,869,377,0,1690,0,19
1586,145,386,0,1641,0,0
3364,269,165,0,2243,0,0
850,148,333,0,1226,0,0
1612,140,468,0,2071,0,0
1826,459,112,0,1170,0,0
2113,593,390,4,1007,0,0
5510,508,136,0,159,0,0
3897,135,0,0,93,0,0
3809,63,37,0,196,0,0
4559,174,75,27,563,27,0
1427,253,17,0,188,0,11
2510,582,2,0,3191,0,23
1410,816,12,26,2725,0,0
4728,330,0,0,459,0,14
3064,248,0,0,458,0,11
3590,347,0,8,392,0,0
2834,571,25,0,1015,15,0
2645,875,125,5,1750,27,0
2555,278,27,3,455,0,0
2041,1281,31,0,2777,0,0
3092,537,8,9,1469,0,0
1342,588,33,56,981,47,0
996,498,32,24,1581,6,13
966,545,33,0,1832,0,0
1637,572,0,18,1885,0,8
1071,271,14,0,3280,0,0
775,485,42,0,1726,21,0
1053,447,30,20,3488,100,0
509,526,121,5,1608,0,0
2051,131,0,0,500,0,0
3093,418,30,0,1900,0,0
563,794,20,0,5247,0,0
1035,180,155,130,1744,0,0
1449,533,12,0,3392,9,0
294,325,7,0,1217,0,0
1729,666,34,58,2137,0,0
772,358,0,0,1724,0,7
3482,277,27,0,1578,104,0
2488,571,323,40,355,0,62
2750,2080,564,34,1522,0,0
880,2034,223,10,1091,0,0
2141,1666,481,22,578,0,0
3742,577,220,0,413,0,34
150,609,24,3,268,0,0
725,3068,110,6,466,0,25
1586,3790,157,21,523,0,29
720,1748,92,0,2021,0,16
700,2877,34,0,487,46,36
885,4849,135,6,679,0,8
856,1601,0,0,2000,0,13
624,1760,204,9,2321,0,50
412,1036,53,0,1706,0,87
748,781,0,0,2980,73,17
631,882,133,11,3262,0,0
1152,1087,21,15,4488,0,0
80,1077,0,0,2765,0,0
812,1321,12,0,3162,10,0
1890,1160,375,9,592,0,0
1776,1309,349,0,1074,0,0
3850,2461,273,50,562,0,43
953,1476,257,0,240,0,0
3901,1292,740,0,868,0,0
4498,748,466,5,509,0,0
881,1309,51,0,605,9,0
876,1122,41,48,1787,0,8
1723,969,164,0,1422,0,17
1335,1145,25,21,1823,0,0
235,910,7,22,2641,0,0
298,1689,22,55,4218,0,0
1303,1180,263,0,2877,0,35
1299,755,9,0,2208,0,0
1004,1729,16,0,4878,0,7
987,889,30,0,2368,0,0
1030,1162,6,0,3127,0,0
663,546,33,0,3115,0,0
1777,417,2,0,2166,37,0
2074,324,0,21,1767,0,0
2354,213,0,0,1501,95,0
3796,343,65,0,2273,0,0
4560,994,114,0,3054,0,0
3654,412,20,0,2551,0,0
2427,199,13,0,1974,0,47
3938,271,0,8,893,7,0
2021,38,0,0,981,0,0
3736,44,35,0,1277,108,0
1206,383,7,0,3311,0,0
1608,275,9,0,1650,30,2
1059,209,4,0,1187,58,0
2775,61,13,16,1776,22,0
4663,334,8,40,1355,0,0
1448,56,0,0,382,0,0
3163,94,24,7,1590,0,0
3904,56,6,0,1223,0,0
2217,89,54,0,1008,21,0
1780,129,25,10,1152,0,0
1878,106,0,0,738,0,0
2937,127,6,0,1404,0,0
3828,69,0,0,515,18,11
1839,25,0,0,67,44,0
2529,87,0,0,481,0,0
3592,109,5,0,871,0,3
1378,187,0,26,3473,0,0
758,115,0,11,1648,5,0
3147,176,0,54,323,0,0
5634,36,3,0,419,0,0
2496,88,7,0,292,0,44
4185,106,32,0,1471,16,0
3121,204,6,13,447,0,0
3861,125,14,0,436,0,0
3447,278,5,15,709,0,0
2690,40,0,6,127,0,0
463,3248,150,0,700,0,0
832,4003,491,3,281,0,90
729,2258,2042,0,433,0,16
966,1506,1354,1,347,0,32
2108,969,1525,0,75,0,18
213,260,430,0,81,5,0
297,3593,0,0,1599,0,37
349,2566,2,0,1479,0,0
334,3032,0,8,1035,0,0
315,3309,41,0,1200,0,0
283,2265,51,0,431,0,0
3867,544,1967,0,287,0,18
3880,442,1601,0,255,0,0
1848,1395,1197,12,363,0,0
922,2805,574,0,235,0,0
1677,4319,267,0,558,22,0
809,1628,451,0,232,0,0
2043,1065,872,0,128,0,11
4221,1189,1355,7,487,7,8
3502,709,1464,0,462,16,0
298,841,153,0,142,0,0
3055,663,740,0,395,0,0
374,723,209,0,172,12,0
2476,404,574,4,452,0,24
2979,364,516,0,149,0,0
3161,1037,557,0,331,0,7
1208,1337,233,7,719,15,15
119,1754,296,0,875,0,10
2736,1319,373,0,332,0,0
454,852,242,0,802,0,43
1554,2278,196,3,268,0,0
937,3778,416,0,799,0,0
468,1559,123,0,223,0,2
2261,1585,398,0,839,0,97
808,956,310,0,485,0,16
960,1693,296,6,683,0,0
430,1111,170,0,462,0,0
1018,815,38,5,587,0,0
1128,1277,37,12,1049,0,15
897,1526,223,10,572,0,0
325,1264,138,0,370,0,0
1003,2328,326,0,1443,21,217
973,2590,165,19,2123,0,0
910,2613,336,0,1850,0,22
852,2381,507,18,1293,0,0
399,1339,197,0,453,0,10
545,2357,166,0,599,0,53
598,2180,83,3,547,0,0
1023,3329,161,14,985,0,75
867,3086,17,0,3113,43,85
432,1876,0,0,3549,0,28
645,906,2,7,1793,38,0
1485,834,118,0,2821,0,24
779,1294,9,7,2829,0,41
1010,640,1,0,2616,0,59
1402,733,1,15,2349,0,0
1311,1319,32,0,1365,0,0
735,814,34,6,1122,0,0
1537,837,294,0,1523,0,0
1719,320,114,58,1879,0,0
1093,251,108,12,2526,0,0
1514,1284,24,0,2243,0,19
946,2562,58,34,1326,0,76
1932,3327,297,14,1943,20,0
1131,1701,61,0,1644,0,0
694,1443,75,0,1009,0,0
851,1541,56,0,2056,23,0
1683,275,54,0,1189,0,0
1968,561,11,12,1344,0,0
2360,565,66,0,2251,0,0
1369,167,81,0,2916,0,0
1788,215,6,0,1974,39,0
1103,139,29,0,1695,19,0
1480,503,68,0,2055,0,5
2302,201,49,0,2937,0,133
1367,437,51,8,1887,0,0
1084,307,87,0,2065,0,0
1957,236,0,0,2761,37,0
540,516,67,0,2431,0,0
1982,653,45,0,2888,9,0
1096,71,1,0,2188,25,25
1027,173,0,9,4542,0,50
1255,425,46,0,5604,0,0
772,424,0,7,3054,0,0
627,216,24,0,2864,0,0
1100,320,71,0,2512,18,7
801,331,0,48,1826,0,14
1228,261,52,0,3245,0,14
241,132,30,0,3754,10,0
1097,46,7,74,3944,0,0
360,55,0,0,2328,37,0
334,35,55,0,2199,0,0
688,455,8,0,1645,0,0
2583,885,18,1,2666,0,0
2086,282,43,0,1140,23,0
249,272,0,0,2119,0,28
2499,179,0,0,3742,80,12
1713,140,0,0,2965,0,35
1000,348,50,10,1371,0,0
1057,102,0,0,2902,0,2
1011,114,34,0,3658,23,0
1096,741,0,0,3359,56,0
2171,59,2,9,3780,0,0
1640,120,23,0,1657,0,0
1877,30,0,5,2153,0,0
2251,360,0,0,4570,0,2
707,34,1,23,2377,0,0
1267,31,0,25,2859,10,0
2081,294,101,0,2809,0,18
1731,696,38,0,2035,0,0
2051,386,34,0,4179,0,0
2817,175,52,0,1393,16,0
1108,172,2,0,1098,33,0
2298,195,0,0,1761,12,26
795,2255,32,0,614,10,30
2545,3284,12,0,427,32,16
2371,1695,66,64,662,14,0
1929,698,18,12,588,0,17
4266,170,9,0,0,13,0
4000,214,77,0,222,0,0
4316,168,79,25,382,0,17
2510,147,41,0,181,0,0
6082,279,9,12,75,13,0
5921,318,5,19,164,0,0
5123,363,144,103,30,0,0
4753,241,67,59,208,0,0
3205,61,0,0,0,0,0
3930,800,149,27,81,0,0
4102,860,80,17,126,0,0
5224,1496,68,0,203,0,104
3601,391,0,0,96,0,0
1306,785,38,8,101,0,51
3379,1147,182,0,89,0,0
2777,553,17,64,153,7,0
4025,2878,55,12,695,0,0
2390,1396,0,0,69,0,0
2641,957,7,0,35,0,0
3960,381,116,0,115,0,0
1579,356,0,0,31,3,0
2757,1192,0,0,69,0,97
2621,326,10,0,62,0,0
3629,226,124,0,30,0,0
3148,821,79,0,407,27,0
4578,776,40,0,137,0,0
5466,708,6,103,91,12,13
5927,319,1,54,17,0,6
2653,148,21,25,75,8,0
4657,291,32,0,22,0,0
3376,175,6,61,12,0,0
3461,287,34,0,134,0,0
6895,379,0,0,78,11,11
4222,220,0,0,167,0,0
5558,533,80,44,250,0,0
5291,815,370,0,310,0,0
1240,312,162,11,224,0,20
4328,777,31,10,242,0,12
3940,355,19,4,36,0,18
5374,214,0,0,152,0,0
4425,552,0,65,126,0,0
2391,305,43,9,14,0,0
2825,706,2,0,229,0,0
2530,780,42,27,23,0,0
2717,1110,48,0,274,0,0
3419,778,69,44,206,0,112
1904,944,0,0,72,0,26
4363,1293,36,0,316,0,0
3555,2614,97,9,374,0,0
2352,1762,27,0,181,0,0
4529,1431,59,70,293,0,189
2505,1270,1,0,191,0,76
1935,1843,64,27,264,0,0
1630,1589,91,0,458,8,0
3020,1790,15,16,317,0,0
2637,2107,1,0,322,0,0
1653,2315,183,14,3318,4,0
1873,1541,24,10,688,0,0
2003,1548,208,11,1135,32,4
1347,893,52,11,485,0,0
1640,1498,84,16,1267,0,55
1816,2716,134,19,715,56,0
2390,2349,120,0,503,0,1
3548,1002,97,49,571,0,26
0,0,0,0,0,0,0
1781,674,8,0,536,0,13
2784,788,0,10,510,0,0
1617,596,43,49,2596,0,0
2555,649,2,12,560,7,0
5060,430,106,0,194,10,0
3760,903,39,4,316,0,0
3334,316,65,0,351,0,0
2337,303,0,0,340,0,51
3514,73,19,0,263,0,0
2298,32,0,0,4,0,15
6684,117,8,8,113,0,0
2922,48,92,0,782,0,0
4383,19,0,0,99,0,0
3779,23,0,0,128,0,0
1454,12,7,0,54,13,0
2143,57,4,0,46,0,0
5309,105,0,11,121,0,52
3417,5,14,0,12,0,13
3923,8,0,0,0,0,24
4196,13,3,0,183,0,0
5250,74,0,0,39,0,0
4259,75,0,0,62,0,9
3131,68,0,5,10,0,0
5188,17,66,0,0,0,0
4220,42,0,0,0,0,0
5513,72,55,0,21,0,0
7098,145,6,0,4,0,0
3570,4,0,10,40,0,0
3524,19,19,0,0,0,0
4638,65,0,0,0,0,0
5140,48,19,0,0,0,0
3657,81,13,0,18,0,0
3699,43,0,0,0,0,0
5285,72,33,33,11,0,0
4475,35,0,0,0,0,10
4899,66,0,0,30,0,0
6739,104,40,0,58,0,0
3800,51,0,0,0,0,0
2849,137,177,0,57,0,0
2723,174,0,0,177,0,0
6054,82,0,0,234,0,0
3174,232,31,0,350,44,0
5820,188,136,49,151,0,0
4443,64,57,10,12,0,0
4204,111,47,0,101,0,0
4045,251,334,0,13,0,18
48,9,0,0,2,0,0
3599,21,64,0,129,122,0
3205,4,13,0,0,0,0
2838,22,0,0,23,0,0
3935,6,31,0,185,0,0
4741,31,33,0,0,0,12
2873,45,48,0,5,0,0
4187,11,210,0,22,0,0
6471,0,398,0,0,0,0
3743,22,75,0,0,0,0
2583,32,0,0,0,0,0
3454,29,0,0,47,0,0
4570,72,2,0,1,0,0
2273,33,0,13,0,0,0
1695,6,7,0,0,0,0
3579,16,25,0,52,0,0
2774,25,0,0,0,0,19
2410,31,0,0,10,0,0
1657,9,0,0,42,18,0
3365,83,0,0,0,0,11
5324,27,10,0,9,0,0
4232,0,0,0,0,0,0
2811,151,25,4,0,0,0
3274,24,0,3,0,0,0
2226,29,0,0,0,0,0
2052,23,0,0,0,0,0
4344,80,0,0,47,0,0
5009,305,0,34,0,39,0
6471,280,45,0,22,0,0
3887,35,52,0,20,0,0
3540,19,13,0,0,16,0
3969,85,0,0,0,0,0
5662,441,95,13,67,0,0
4091,184,13,0,86,0,0
3602,233,0,0,0,0,0
3850,63,0,0,8,0,0
5986,79,0,0,0,0,0
4120,65,0,0,11,0,0
5199,74,0,0,52,0,0
4151,199,68,0,28,0,0
1978,146,28,0,27,0,0
6394,135,49,47,11,0,0
4370,160,12,0,10,0,29
5744,63,9,0,88,0,0
3269,71,0,0,27,13,0
4588,42,26,0,81,0,11
3868,18,0,0,0,0,0
2882,15,0,0,28,0,0
3203,143,21,14,19,0,0
3801,65,0,0,32,0,6
5094,57,12,0,6,0,0
4734,112,6,0,59,0,0
4301,36,0,0,0,0,0
4647,56,0,0,33,0,0
2674,45,0,11,55,0,5
4414,82,0,36,0,0,0
3870,43,0,0,0,18,0
6204,11,15,0,32,0,13
4086,59,319,0,0,0,0
2897,90,308,0,10,0,0
6169,82,1404,0,8,0,12
3441,40,1133,8,0,0,0
4936,58,803,20,20,2,0
5936,8,265,17,17,0,0
3092,4,326,0,60,0,0
3969,34,40,0,0,0,0
4686,99,24,0,5,0,0
2466,33,0,0,0,0,0
3181,0,61,0,0,0,0
4506,7,0,11,0,0,0
4320,63,20,0,41,0,0
1889,18,0,0,0,4,0
4330,47,24,0,0,0,0
6303,99,0,0,105,0,0
4285,127,78,0,20,0,0
6672,202,0,0,0,0,0
4281,46,0,0,9,0,23
5035,152,30,0,14,0,0
5521,53,3,0,0,0,30
7636,302,0,0,21,0,0
3976,63,48,0,14,0,0
2549,400,55,0,81,0,0
5318,117,18,0,92,0,0
3848,148,76,0,25,64,5
6521,690,91,0,306,0,8
7121,42,238,0,37,0,0
5720,133,450,0,94,0,7
5590,38,553,0,0,0,0
1810,70,32,0,5,0,0
6343,291,419,0,106,0,79
5154,68,305,0,32,0,8
5041,110,27,0,0,0,0
1925,16,457,0,0,87,0
6266,466,1100,27,48,8,9
5964,135,616,0,71,0,0
2503,30,1492,46,0,0,108
1465,54,1577,0,71,0,20
1960,24,3341,0,104,0,18
2596,123,1663,7,16,0,71
1929,71,2939,0,0,0,0
438,27,436,0,135,0,0
1562,247,1494,1,189,0,2
1144,44,1530,0,90,0,0
2019,92,4014,0,12,0,8
3803,10,2132,0,16,14,22
6092,15,1275,0,46,0,0
4726,24,560,0,0,170,0
2665,81,459,0,8,0,0
4903,79,1123,3,0,0,0
4328,28,1192,0,0,0,0
2084,18,220,46,26,48,0
5458,57,760,0,0,0,0
4122,42,876,21,48,0,0
4648,0,461,0,0,0,0
4019,130,1469,0,19,0,0
3481,16,582,0,15,0,0
3040,11,476,0,111,0,0
4317,144,385,0,47,0,0
2908,15,424,0,20,0,0
5339,28,1557,0,0,0,38
2714,54,2263,0,31,0,0
2059,49,1170,0,3,0,0
2141,69,2433,0,9,133,0
2607,38,1476,0,0,0,0
2419,12,444,5,0,0,0
4399,54,1441,0,11,0,24
4324,25,1301,0,2,0,49
1579,28,1550,0,63,0,0
2046,7,679,0,27,0,0
1947,5,2463,0,46,0,0
3467,52,3073,0,220,0,14
2209,20,1601,25,20,0,11
3528,50,966,53,1,0,38
828,171,4545,39,119,11,0
1235,694,896,0,182,0,0
1855,655,1180,10,2471,300,0
835,459,3116,0,610,223,9
789,66,4385,0,410,62,0
2452,379,631,0,549,131,31
2029,518,479,0,3589,66,0
1792,869,145,14,1086,0,0
1302,1017,630,0,1720,508,49
1772,309,399,39,1308,208,0
2794,1154,722,0,2567,293,0
607,1220,909,9,715,0,0
2849,629,137,0,1999,66,0
1184,221,4,0,1257,218,15
3826,403,138,0,2863,40,0
1824,404,92,4,751,37,14
2952,679,94,8,1575,179,0
2043,394,767,0,3026,200,0
1695,415,104,18,1459,0,0
2987,55,768,0,404,61,0
2997,360,164,0,575,0,5
1811,339,111,14,338,113,20
370,446,317,47,161,21,0
6092,677,197,0,793,0,0
1996,344,61,0,285,18,20
4110,683,284,46,338,0,15
5670,948,15,89,757,29,0
905,393,0,4,183,0,3
5479,1515,301,0,486,0,0
4270,1032,252,0,251,0,12
3108,966,16,0,474,0,13
4982,1482,55,0,441,0,0
5144,1357,62,0,341,0,0
2909,563,230,0,252,0,0
4265,811,144,21,461,0,0
4471,1625,0,15,663,0,0
3363,225,309,0,305,0,0
4221,438,416,0,110,0,0
2812,577,127,108,379,1,0
5384,919,506,0,393,0,27
3997,827,315,0,220,0,10
3642,947,56,0,151,0,0
3004,735,128,0,411,12,92
3447,807,315,0,429,6,14
2802,1386,25,13,277,0,0
17,15,25,0,8,5,0
5052,687,254,7,273,0,0
4959,1022,397,0,931,0,0
3627,780,248,0,626,0,0
2742,533,121,0,565,0,0
2720,389,231,0,598,0,0
4148,842,226,0,1006,0,0
5206,266,450,0,380,0,0
3316,421,320,23,883,16,0
1722,677,277,10,655,0,19
2477,206,24,0,96,0,0
4953,198,3,42,291,0,0
2469,522,46,0,1391,110,30
5032,972,140,76,651,0,0
4484,767,156,0,670,0,0
4220,1103,127,15,1256,49,77
3564,656,437,17,454,0,0
3399,1617,998,19,840,70,14
4862,1320,456,0,736,0,0
2159,700,98,0,326,0,0
2925,367,78,16,119,157,0
3588,239,337,0,31,0,0
2111,212,354,0,74,0,0
5070,320,441,0,128,109,0
3961,255,500,0,24,199,0
3362,377,882,0,189,0,0
3937,128,53,4,0,0,0
4410,31,273,9,41,0,0
2969,136,741,20,179,60,0
4305,419,921,24,387,44,0
5384,467,463,0,360,11,5
4712,427,549,0,114,64,0
2285,769,102,0,573,0,0
3263,920,464,0,752,65,0
3174,473,54,38,307,4,0
1074,307,172,0,274,0,0
932,617,533,0,292,0,0
2195,630,1405,1,304,0,16
2064,923,445,0,442,0,0
1919,1026,467,0,301,0,32
2461,604,476,16,441,0,17
2430,321,495,0,260,0,0
2077,490,958,10,316,0,0
2709,750,1204,16,736,18,0
2022,671,837,11,630,0,119
1378,650,824,34,240,3,0
1599,1981,601,0,733,0,32
235,482,303,0,2799,0,34
300,1007,243,8,4164,0,71
231,219,302,29,1751,0,0
910,626,508,37,2583,0,9
394,840,182,0,2216,35,0
502,494,396,0,2344,0,23
342,451,223,0,3364,0,0
679,849,237,9,3569,0,0
330,644,120,0,2256,86,0
924,1458,584,0,2812,0,11
1121,893,405,26,2654,0,47
2234,786,266,29,1273,0,0
4090,197,165,0,539,0,56
3028,218,33,0,253,0,0
1790,1461,453,79,2285,0,13
1546,1571,141,0,3474,0,0
2564,1057,439,0,1314,0,20
1362,828,305,0,572,0,0
3414,673,625,22,2099,12,63
1540,926,486,15,1390,6,0
1468,928,224,0,1227,37,28
751,1919,124,0,326,65,17
4935,232,26,10,321,0,0
3629,721,99,0,375,0,0
1211,2089,144,10,737,125,58
1253,1027,159,54,283,63,0
1565,1673,418,32,804,5,0
402,841,1059,0,634,181,31
4053,570,829,11,783,46,41
1981,206,1093,0,308,0,0
1956,395,824,0,567,97,0
5005,526,810,9,360,349,12
2815,232,624,85,459,0,32
2984,299,1114,0,634,0,31
1647,136,1274,0,276,39,35
3952,19,884,0,197,0,0
2132,46,833,0,238,0,0
4457,1055,1151,0,1009,0,108
3353,806,789,0,1104,92,86
2759,407,993,77,728,81,0
3558,664,761,0,1483,6,95
1505,370,2432,79,348,14,0
1871,1690,882,16,1340,287,57
1097,774,204,0,353,0,0
1885,2727,168,17,623,138,142
1627,2707,205,11,839,0,0
1199,2071,231,0,347,0,0
1736,3339,345,0,306,0,0
1415,2601,181,15,315,27,9
747,2394,0,0,298,9,0
2386,3870,598,0,918,0,0
1103,1978,400,0,344,151,61
1582,1696,535,0,629,0,45
1261,1093,997,0,883,0,0
1245,968,543,5,794,0,0
1559,1047,985,18,924,150,40
561,119,1062,0,76,0,21
3992,652,973,22,687,17,11
1987,183,855,0,497,140,0
2050,289,727,10,509,72,0
458,1901,225,0,473,0,0
1662,2209,1032,30,653,22,13
1547,2738,368,44,570,0,0
887,1697,1334,0,1380,0,0
318,189,79,5,364,21,0
2692,1032,1218,1,1861,228,15
1211,637,571,0,800,374,8
2364,143,306,0,944,56,0
1987,141,367,0,871,451,0
236,132,300,0,331,0,0
856,303,727,7,405,442,0
2475,124,592,0,1749,331,36
1756,206,767,0,2402,161,0
160,220,412,118,41,30,0
3708,190,581,0,753,0,33
2859,344,407,0,68,57,14
874,482,387,77,228,0,0
2765,356,804,31,407,16,0
3772,519,1986,24,712,84,0
3186,98,1055,93,708,0,0
3426,218,650,38,1247,35,6
1828,141,358,0,1680,10,0
406,480,72,13,208,3,19
2591,1398,1042,24,1538,59,0
557,1233,342,0,807,0,0
1591,3331,472,27,587,0,12
1053,2987,186,0,510,0,9
1013,2782,88,21,395,0,20
288,1237,240,11,261,0,0
1129,3683,65,0,318,0,19
1050,3753,56,47,373,0,0
737,1789,77,0,323,0,0
636,1367,117,0,50,0,0
972,3773,272,13,495,146,0
1085,3450,97,32,513,0,0
899,4012,388,0,446,0,36
438,995,179,0,357,8,26
209,686,65,0,219,0,0
24,101,11,0,11,0,0
356,1968,155,0,330,0,0
647,2878,0,0,265,0,4
1120,2374,393,29,616,41,21
961,1481,460,6,878,23,0
1224,2219,251,20,801,0,0
2672,499,408,0,725,11,0
2387,295,262,0,1271,0,0
2032,1174,1205,4,497,0,0
2410,39,731,0,1322,28,13
3181,164,149,0,1204,0,0
3107,143,604,0,1358,0,0
4161,356,391,0,245,0,0
3282,72,434,33,225,0,0
22,11,0,0,0,0,0
2035,182,202,0,67,0,5
3537,333,481,0,379,14,0
2248,295,274,0,191,0,0
1592,530,723,0,150,0,0
1592,1622,1113,0,245,0,24
1029,2167,545,22,1278,0,0
2691,1435,673,0,567,0,0
2353,601,848,0,407,0,15
