Hispanic_ACS_10_14,NH_White_alone_ACS_10_14,NH_Blk_alone_ACS_10_14,NH_AIAN_alone_ACS_10_14,NH_Asian_alone_ACS_10_14,NH_NHOPI_alone_ACS_10_14,NH_SOR_alone_ACS_10_14
3187,785,322,4,186,489,0
2827,1627,319,4,641,103,27
1971,1076,371,7,670,0,45
1834,1632,113,0,1498,68,0
1450,1909,515,0,1278,14,0
1692,1502,147,14,866,58,0
2476,1303,289,19,1693,0,77
2537,569,635,0,258,61,0
3898,943,911,0,1400,94,0
2573,2507,1079,0,1136,0,0
694,1250,436,8,263,0,0
1691,782,853,0,889,131,0
3722,726,789,6,603,167,0
2373,378,1104,13,1107,28,51
1847,394,304,0,1106,0,0
1553,862,663,26,842,0,0
4237,959,237,0,908,86,63
927,693,601,34,624,136,0
1121,1200,307,0,3359,135,13
1413,539,518,0,1514,29,0
2161,1324,989,57,2580,7,0
1107,450,506,65,794,269,0
1655,608,41,14,606,150,0
2721,597,196,10,556,164,0
2010,703,379,0,637,148,0
2253,285,356,0,404,316,0
3627,306,356,32,361,123,0
1956,618,491,0,1119,175,0
1343,141,281,24,280,102,0
1284,1254,22,0,653,0,0
2627,1357,831,0,1946,219,0
2777,634,283,0,1100,130,0
987,643,395,18,2021,126,0
1264,1079,410,12,2294,107,14
1798,233,390,5,1384,107,10
762,507,287,3,795,31,0
513,762,113,0,973,10,0
4593,334,191,0,922,65,0
2198,1454,589,45,2436,17,0
752,538,230,48,3116,56,0
639,585,330,16,2000,258,123
330,486,214,32,2496,69,39
700,1007,199,26,1966,0,35
1775,810,263,7,2467,23,19
633,450,198,0,2160,55,0
301,318,51,9,2539,183,20
238,383,223,11,1796,19,0
761,473,198,0,2583,73,0
630,1131,101,50,4143,58,0
945,657,570,0,2427,57,62
944,1678,80,20,1308,13,0
990,2700,475,72,2757,0,0
287,823,319,7,1653,0,9
675,1874,178,71,2294,18,0
834,1943,287,20,3571,240,0
748,1206,118,40,2766,0,0
416,486,546,27,4752,69,0
88,429,174,18,5107,68,12
295,1099,260,9,4239,0,0
663,1260,285,0,2804,11,0
162,496,174,32,2916,32,9
193,198,189,66,3563,58,0
883,1650,191,0,1603,160,0
2112,1687,524,0,2976,48,0
2455,1988,479,44,2411,41,0
1102,2477,82,28,3037,15,13
1070,694,171,60,1631,0,0
527,1040,258,0,3429,0,0
1001,2387,35,43,3399,0,53
624,1294,183,84,3579,9,0
1563,704,201,12,1593,39,0
308,554,285,0,2816,0,98
57,770,4,0,2211,11,58
178,909,35,37,3693,0,9
196,1538,45,0,4631,0,36
703,1122,316,35,2250,0,0
708,1400,427,29,2611,12,0
2189,1769,272,35,2360,78,8
1154,2432,496,80,3141,99,0
596,1567,130,0,1165,0,0
1053,1815,254,9,1576,38,72
721,1367,31,0,956,0,0
747,1199,136,0,1021,0,14
1425,2558,347,13,2689,106,0
1110,831,53,0,813,34,0
1567,1707,16,0,2825,0,0
355,914,16,7,3664,51,19
37,363,89,14,3338,0,0
358,896,26,17,4158,19,0
0,712,78,13,3356,39,17
104,659,10,6,2394,13,67
205,984,117,18,2583,0,12
152,538,84,0,2323,0,0
121,812,79,25,2130,43,14
1947,3240,101,7,1748,214,0
2350,1749,298,0,1707,198,0
1139,1254,95,18,1126,96,0
2436,841,115,20,1113,0,0
2331,1094,162,0,979,0,9
2675,1363,601,0,2163,7,0
1019,1683,325,38,1759,55,0
528,950,286,0,2173,0,42
300,1538,292,7,1887,16,0
2096,1640,1530,103,1812,53,162
449,2737,230,0,1261,11,0
758,2655,247,9,1177,0,0
823,3480,81,40,1492,1,0
541,2040,174,0,481,0,0
430,2926,50,22,1279,0,0
165,2144,142,0,836,3,12
864,5520,280,7,2205,31,139
513,2837,13,0,1110,0,0
562,3316,71,6,773,0,0
313,2469,58,0,967,0,0
456,3376,176,43,1407,12,0
994,2577,200,0,1013,30,31
485,5146,27,0,2304,0,18
1288,2896,141,6,757,0,0
599,2936,79,0,1008,0,0
661,1845,263,0,2898,46,0
593,2722,82,5,1340,0,0
302,2653,27,12,2596,55,0
514,2389,36,4,246,10,19
545,1692,188,0,1313,55,0
229,1182,255,40,2280,0,0
341,1750,221,11,2925,8,30
801,4645,164,11,1187,2,1
322,3063,28,0,430,60,0
1395,4003,250,17,788,0,0
811,2604,35,0,417,5,0
1545,5000,121,0,326,26,0
1396,3983,44,19,648,0,0
494,1223,20,0,351,0,0
3033,2562,94,0,395,0,24
768,3118,71,0,456,0,0
1391,3313,4,0,651,0,0
101,1335,40,0,125,16,0
236,2907,0,0,131,0,0
1346,1468,230,0,212,0,0
548,3775,7,8,524,13,0
905,4916,38,8,652,33,0
407,2095,50,8,226,0,0
694,2887,141,17,675,0,0
761,3277,41,10,50,0,0
0,28,0,0,0,0,0
16,56,0,0,11,0,0
91,227,64,0,159,6,0
0,0,0,0,0,0,0
86,830,11,208,12,14,0
181,3740,47,158,23,0,0
266,1302,0,110,0,0,0
618,3825,0,106,166,15,0
1558,3124,690,104,119,2,2
367,3970,3,110,63,0,0
636,3211,0,0,9,36,0
609,3717,18,27,4,27,0
321,4387,23,8,80,0,0
168,2420,0,20,18,0,0
737,2883,16,0,181,0,0
709,3045,31,24,150,25,0
1003,4005,170,0,452,0,0
900,3282,0,25,46,0,0
410,2491,144,36,35,0,0
1170,3121,79,42,82,0,13
605,1546,11,32,59,12,0
1030,5832,24,14,113,0,0
655,2683,74,5,242,0,9
847,2369,39,8,392,54,0
411,2959,0,8,35,0,0
559,2574,33,4,80,21,15
859,2916,122,12,41,25,0
337,4199,143,76,250,0,0
931,4191,4,0,286,0,0
185,2213,0,0,9,0,0
1171,4144,190,14,540,15,0
536,4863,139,17,187,0,20
683,3743,191,38,33,0,0
524,2932,104,18,225,0,0
578,2314,54,0,13,3,0
1256,2164,46,46,441,0,9
271,5011,15,0,72,7,0
630,4768,27,35,0,0,0
635,4088,42,0,15,0,17
514,4532,0,0,0,10,0
246,2591,0,0,0,0,0
222,3025,0,103,0,0,0
427,5036,5,47,65,0,0
346,3022,18,7,48,55,0
342,4963,0,77,96,0,0
