HouseHoldId,Tot_Housing_Units_ACS_10_14,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
638,828,211,566,28,12
639,962,938,24,0,0
640,782,773,4,0,5
641,1151,1078,73,0,0
642,1164,1115,42,0,7
643,3330,2700,30,395,205
644,924,744,88,86,6
645,0,0,0,0,0
646,1838,1051,501,248,38
647,1579,1110,57,97,315
648,886,219,123,110,426
649,3132,2517,189,7,400
650,1512,1155,0,27,330
651,1752,1192,79,0,433
652,571,310,36,0,219
653,0,0,0,0,0
654,2892,1842,665,302,83
655,1709,1273,362,65,9
656,2349,1555,694,49,51
657,3545,2763,529,79,133
658,2601,1443,598,220,340
659,1748,1738,10,0,0
660,2138,2105,26,7,0
661,2090,1966,124,0,0
662,2117,2029,0,0,88
663,3010,2755,42,0,213
664,2044,1828,15,0,201
665,2145,1992,80,73,0
666,2421,1888,74,369,90
667,2217,1970,109,138,0
668,1651,1627,24,0,0
669,1873,1854,11,0,8
670,1593,1518,0,15,60
671,3259,2244,270,537,208
672,2458,2065,148,52,193
673,1464,1270,104,90,0
674,2481,2195,179,107,0
675,1002,812,163,27,0
676,1438,1005,257,154,22
677,1251,1216,0,0,35
678,1917,1850,2,0,65
679,2459,1732,361,82,284
680,2458,1796,412,201,38
681,2107,1802,214,65,26
682,1615,1418,36,0,151
683,2365,1679,205,30,451
684,3111,2699,0,0,395
685,1032,998,0,0,34
686,1172,1159,0,5,8
687,2602,2527,0,14,61
688,2725,1743,257,245,464
689,1171,1032,28,6,105
690,2266,1830,33,0,403
691,3242,1466,1116,609,51
692,897,873,4,6,14
693,2239,2226,0,0,13
694,889,874,4,0,11
695,2733,2571,92,40,30
696,0,0,0,0,0
697,495,19,65,411,0
698,867,557,282,13,15
699,1188,806,276,106,0
700,1398,1165,216,17,0
701,844,379,337,128,0
702,1134,344,596,194,0
703,2190,713,937,540,0
704,1265,1050,151,64,0
705,270,170,43,31,26
706,778,418,288,72,0
707,1400,585,693,93,29
708,1064,837,118,105,4
709,835,796,13,26,0
710,1496,1275,137,16,68
711,1206,723,328,155,0
712,1505,1266,162,38,39
713,621,409,148,47,17
714,1428,578,431,352,67
715,1751,180,1233,315,23
716,1280,342,708,230,0
717,668,606,62,0,0
718,2642,2001,122,13,506
719,1871,775,603,481,12
720,741,703,0,34,4
721,1590,1563,0,0,27
722,2354,2153,114,87,0
723,748,492,48,4,153
724,1601,1159,292,69,81
725,1785,1444,7,42,292
726,1397,1303,7,0,70
727,905,793,0,0,106
728,1920,960,453,41,437
729,2240,1912,179,149,0
730,1648,876,698,74,0
731,1395,902,384,92,17
732,1475,898,465,81,31
733,1465,689,371,405,0
734,1351,647,678,26,0
735,1475,1021,401,8,45
736,1054,862,120,57,15
737,1273,1222,31,0,20
738,1510,853,466,191,0
739,1364,856,403,18,63
740,1308,501,468,339,0
741,804,728,40,36,0
742,998,417,271,306,4
743,1599,859,446,278,16
744,872,431,232,206,3
745,1327,446,540,333,8
746,769,617,17,69,66
747,2822,1241,997,473,111
748,2241,1177,634,430,0
749,1634,660,623,339,12
750,1484,1147,227,81,29
751,1762,897,611,254,0
752,1190,844,338,0,8
753,1632,1111,483,25,13
754,1684,899,527,232,26
755,2204,1455,621,95,33
756,1811,1595,184,32,0
757,1138,740,314,84,0
758,1679,1100,483,91,5
759,2478,2416,0,0,62
760,1631,1582,1,31,17
761,2512,1009,619,469,415
762,1115,737,326,11,33
763,1499,1431,42,0,26
764,1632,1031,412,189,0
765,1657,1569,77,11,0
766,1732,1343,8,6,375
767,2161,1832,273,56,0
768,2078,1347,394,178,159
769,916,869,31,9,7
770,2115,1164,584,200,159
771,2582,2138,293,53,98
772,2527,2413,114,0,0
773,1548,733,572,243,0
774,2221,1878,205,138,0
775,4553,2109,1828,529,87
776,1322,966,278,68,10
777,1992,1912,0,72,0
778,1457,1358,42,57,0
779,870,857,13,0,0
780,1827,1633,106,82,6
781,2126,2007,0,102,17
782,1942,1814,109,10,9
783,1213,634,340,239,0
784,1548,1445,75,20,8
785,2456,916,767,324,449
786,1720,662,663,386,9
787,1490,968,407,115,0
788,2142,1539,314,289,0
789,2203,851,746,339,267
790,2179,609,804,766,0
791,1582,1101,328,153,0
792,1202,1041,161,0,0
793,1071,1029,21,21,0
794,2555,1232,698,276,349
795,1353,1005,276,72,0
796,1624,880,535,209,0
797,1666,771,482,404,9
798,1689,927,447,315,0
799,1642,952,312,340,38
800,712,596,46,70,0
801,1549,1160,226,126,37
802,2240,1389,450,401,0
803,1268,538,280,441,9
804,1647,789,167,539,137
805,1452,927,381,144,0
806,1980,1533,188,247,12
807,2089,837,889,363,0
808,2210,709,1144,357,0
809,1203,960,132,111,0
810,1663,371,687,605,0
811,1642,1324,266,52,0
812,1492,1418,53,21,0
813,1300,989,100,211,0
814,449,15,32,402,0
815,1583,557,596,430,0
816,1240,814,296,124,6
817,2059,1578,0,274,207
818,858,847,0,11,0
819,2209,2209,0,0,0
820,2262,1710,375,159,18
821,1993,1791,175,21,0
822,1736,1303,319,114,0
823,2395,1351,475,569,0
824,1595,1401,149,37,8
825,1010,917,86,7,0
826,1459,1226,126,107,0
827,631,542,0,0,76
828,2821,1611,784,426,0
829,2673,2510,108,55,0
830,1128,1088,12,28,0
831,812,797,0,0,15
832,1476,1423,0,35,18
833,1635,1624,11,0,0
834,442,405,8,29,0
835,2326,762,867,697,0
836,535,499,10,26,0
837,1352,1054,221,77,0
838,1912,228,889,496,299
839,1491,540,311,42,598
840,1381,1053,244,60,24
841,1855,1656,111,57,31
842,1837,1831,0,6,0
843,1812,1179,490,143,0
844,1872,1480,119,255,18
845,1423,1379,44,0,0
846,2148,1821,28,12,287
847,1253,1239,14,0,0
848,1515,1499,0,0,16
849,2508,2345,12,0,151
850,861,786,0,12,63
851,1018,874,86,58,0
852,1830,1816,0,0,14
853,1182,1101,10,0,71
854,1194,1122,0,38,34
855,3169,2327,497,188,157
856,2166,1725,349,26,66
857,712,568,93,45,6
858,1818,1597,191,0,30
859,2534,2298,45,0,191
860,4209,3792,293,10,107
861,3086,1952,34,0,1100
862,2139,1673,0,0,466
863,1928,1390,0,0,494
864,1713,1102,481,70,36
865,1282,950,180,144,0
866,1633,1099,419,115,0
867,714,505,157,52,0
868,1982,1330,497,132,23
869,2250,1921,145,32,152
870,1175,1008,87,75,5
871,917,679,118,0,110
872,1447,1059,273,115,0
873,2340,2197,105,38,0
874,1844,1260,283,68,233
875,2024,1608,243,15,158
876,2796,2332,347,48,69
877,1678,1271,76,152,179
878,1427,1127,22,0,278
879,1048,901,8,0,139
880,1465,1208,95,0,162
881,1402,984,41,0,373
882,1568,1263,60,20,225
883,659,469,121,15,54
884,1494,636,661,137,60
885,0,0,0,0,0
886,999,531,140,16,312
887,2144,1744,384,16,0
888,2367,1519,520,190,138
889,1988,1321,549,12,106
890,1480,895,526,59,0
891,1729,1336,287,78,28
892,2501,1554,529,185,233
893,396,264,8,12,112
894,1195,657,463,50,25
895,2003,1480,383,123,17
896,3070,2411,373,217,56
897,1859,1414,6,0,431
898,975,774,13,6,182
899,3130,2268,587,214,61
900,1148,897,38,8,205
901,686,566,0,0,120
902,2085,649,1214,212,10
903,2579,1657,792,113,17
904,2314,1846,421,47,0
905,1702,1343,109,59,132
906,1992,846,710,417,19
907,2176,1853,234,89,0
908,2558,1983,396,179,0
909,2153,1795,267,56,35
910,2327,2038,59,2,228
911,2612,824,1044,744,0
912,2957,1915,604,94,344
913,2057,939,610,165,335
914,719,536,139,0,44
915,1753,1347,92,3,299
916,1777,1434,69,1,246
917,1764,1336,109,32,287
918,1575,1338,88,0,149
919,3023,2113,619,109,182
920,2413,1851,168,45,349
921,877,789,23,25,40
922,2992,2319,409,21,243
923,2017,1718,189,3,99
924,1732,1005,466,171,90
925,1977,1620,48,1,308
926,1743,1379,166,15,183
927,2251,1828,253,0,136
928,1758,1515,142,25,72
929,2672,2306,128,0,181
930,2171,1782,192,27,170
931,1260,799,28,30,399
932,0,0,0,0,0
933,108,75,0,0,21
934,2630,1690,525,71,304
935,875,579,210,22,64
936,357,235,8,0,114
937,2332,1520,537,114,161
938,2219,1694,272,253,0
939,2443,1779,467,154,43
940,1540,1009,277,68,166
941,508,389,13,0,106
942,2191,1545,317,165,164
943,4088,3500,397,47,144
944,1314,480,247,55,517
945,2095,1807,166,65,57
946,1985,375,734,409,467
947,2756,1832,174,127,619
948,1330,980,325,7,18
949,2081,928,687,301,165
950,2219,1626,370,191,32
951,1510,1194,127,189,0
952,1240,1227,0,13,0
953,1851,1059,382,410,0
954,2109,1582,115,54,346
955,3046,2266,260,302,218
956,1150,674,433,29,14
957,2491,2087,191,213,0
958,2074,1006,612,277,146
959,1870,1556,270,13,31
960,947,703,8,4,223
961,2637,1634,0,50,947
962,1159,545,62,0,514
963,1325,806,60,20,355
964,1346,487,8,0,851
965,997,794,8,14,181
966,1163,1047,14,0,102
967,2625,1262,398,400,398
968,1397,1015,27,1,354
969,1970,1250,94,42,483
970,4678,3246,1145,270,17
971,1251,964,221,66,0
972,3099,2298,709,92,0
973,1842,1268,357,12,196
974,1824,528,545,86,658
975,2271,2271,0,0,0
976,1751,1118,385,226,22
977,1393,1268,95,30,0
978,1192,308,383,483,18
979,1375,1241,0,9,125
980,2776,682,994,641,459
981,1941,1807,126,0,8
982,1684,1555,85,8,36
983,1394,963,292,139,0
984,1473,1015,257,189,12
985,1518,1027,178,313,0
986,860,713,147,0,0
987,1308,1167,132,9,0
988,733,636,97,0,0
989,1956,1465,393,98,0
990,949,920,29,0,0
991,4093,2376,945,263,509
992,2729,2544,0,0,185
993,1327,808,141,94,284
994,1839,1507,188,9,111
995,1354,1019,179,126,30
996,794,693,78,15,8
997,1832,878,861,85,8
998,2338,1231,1009,77,21
