URBANIZED_AREA_POP_CEN_2010,URBAN_CLUSTER_POP_CEN_2010,RURAL_POP_CEN_2010
0,6134,604
6620,0,0
2985,0,0
4881,0,0
3324,0,0
4166,0,0
5038,0,0
3467,0,0
3933,0,0
4300,0,0
6595,0,0
7229,0,0
4194,0,0
2771,0,0
5641,0,0
5001,0,0
2292,0,0
7251,0,0
3984,0,0
7717,0,6
3222,0,0
5529,0,13
1724,0,0
5757,0,0
5923,0,0
5546,0,0
7118,0,0
6482,0,0
3264,0,17
1483,0,0
2144,0,0
3258,0,9
7412,0,0
3615,0,0
2805,0,0
6216,0,0
6549,0,0
6689,0,0
4518,0,0
5533,0,0
6085,0,0
4352,0,0
4615,0,0
5141,0,0
5514,0,0
3437,0,0
6695,0,0
2281,0,0
6309,0,0
5353,0,0
7013,0,0
7534,0,0
4091,0,0
3855,0,0
5926,0,0
3749,0,0
7367,0,0
4767,0,0
6794,0,0
3358,0,0
4802,0,0
7595,0,0
4032,0,0
5701,0,0
3200,0,0
7183,0,0
6098,0,0
4996,0,0
3601,0,0
3790,0,0
4564,0,0
5662,0,0
2922,0,0
5807,0,0
3362,0,0
5574,0,0
5857,0,0
7000,0,0
4864,0,0
4806,0,0
4380,0,0
3843,0,0
5730,0,0
3895,0,0
5062,0,0
6223,0,0
7353,0,0
5099,0,0
6513,0,0
4337,0,0
6307,0,0
5463,0,271
2859,0,0
7816,0,0
6408,0,64
3470,0,116
3424,0,9
5635,0,15
7181,0,0
3838,0,0
7278,0,0
6112,0,59
4417,0,170
4686,0,0
5512,0,0
2594,0,0
3635,0,0
1846,0,0
5812,0,0
3001,0,140
5475,0,111
5750,0,0
2322,0,226
3502,0,19
4078,0,0
1784,0,75
6582,0,8
4335,0,713
12796,0,51
6416,0,0
4197,0,0
6343,0,0
4174,0,1389
4985,0,0
11035,0,0
4443,0,0
5627,0,37
8376,0,3
7278,0,166
7831,0,2
3484,0,0
7808,0,23
4660,0,262
3759,0,0
4478,0,897
3014,0,4
5298,0,0
5159,0,0
5051,0,0
1932,0,0
4542,0,0
6147,0,1
6726,0,0
4702,0,0
4576,0,0
4326,0,0
4626,0,0
4464,0,11
2767,0,0
7043,0,0
5518,0,0
5462,0,0
4924,0,0
4307,0,0
6093,0,0
5099,0,0
5171,0,0
5327,0,0
3404,0,0
6246,0,0
2548,0,0
2837,0,0
5316,0,0
7353,0,0
4376,0,0
4506,0,0
4389,0,0
5962,0,0
6962,0,0
3397,0,38
6117,0,0
5706,0,0
6097,0,0
6964,0,0
4485,0,0
3883,0,0
2765,0,0
1320,0,0
3317,0,0
2532,0,0
2576,0,0
2002,0,0
1714,0,0
2229,0,0
1719,0,0
2556,0,0
2451,0,0
10605,0,0
3102,0,0
0,0,0
0,3939,0
0,2638,1131
0,1881,0
0,5986,981
0,4532,2494
0,0,3655
0,0,1373
0,0,0
0,4718,55
0,2469,0
0,2867,0
0,3498,0
0,3591,132
0,2142,499
0,2047,865
0,1770,934
0,0,5044
0,0,6781
0,0,3566
5650,0,555
4055,0,1906
6020,0,0
4261,0,545
4890,0,99
1578,0,2433
6074,0,1167
2352,0,4025
3986,0,0
6897,0,0
2447,0,0
3437,0,0
16,0,3004
398,666,3623
0,4881,1180
0,3864,1598
0,4865,328
0,1617,1791
0,3803,898
0,0,5896
0,0,2407
0,734,1692
0,1010,4534
13,4590,1428
297,126,2387
0,3544,1793
0,4004,122
2648,0,0
6403,0,395
0,0,133
0,3,1012
0,0,0
2860,0,0
3167,0,0
3609,0,0
6343,0,0
2815,0,0
3606,0,0
6161,0,0
3836,0,85
628,0,336
3151,0,0
5252,0,0
4106,0,0
3174,0,0
5936,0,0
4756,0,0
5653,0,0
2888,0,0
5796,0,0
4694,0,0
2504,0,0
1848,0,0
9082,0,27
5276,0,0
2790,0,0
4258,0,347
7381,0,0
1521,0,685
0,3662,1437
426,1928,3347
2581,0,2034
1462,0,1452
6369,0,0
5419,0,0
3594,0,0
3624,0,0
4959,0,0
5098,0,0
5431,0,0
5821,0,0
3520,0,0
4673,0,0
5882,0,0
5205,0,0
4329,0,0
2897,0,0
2889,0,0
5520,0,0
3175,0,0
4154,0,0
2301,0,0
7048,0,0
5708,0,0
3810,0,0
4398,0,0
5265,0,0
3507,0,0
4749,0,0
4555,0,0
5674,0,0
4009,0,0
3314,0,0
4933,0,0
6558,0,1595
5531,0,0
6852,0,0
3362,0,0
5082,0,0
4771,0,0
5256,0,0
0,0,5804
0,6786,462
0,6701,428
0,0,3306
5888,0,0
7913,0,202
7124,0,0
3480,0,0
6319,0,0
10762,0,0
3248,0,0
4978,0,0
4475,0,0
2629,0,0
3853,0,0
4848,0,0
4162,0,0
3556,0,0
4040,0,0
5211,0,0
3517,0,0
3486,0,0
4723,0,0
4762,0,0
4866,0,0
3158,0,0
2641,0,0
2555,0,0
6682,0,0
4218,0,0
5212,0,0
4604,0,0
4599,0,0
4052,0,0
1985,0,0
3917,0,0
5723,0,0
3619,0,0
4519,0,0
4105,0,0
5740,0,0
5208,0,0
5305,0,0
3635,0,0
4171,0,0
4145,0,0
3899,0,0
3139,0,0
1276,0,0
3560,0,0
3298,0,0
4133,0,121
2295,0,0
6613,0,0
5732,0,0
5796,0,0
4678,0,0
4997,0,0
4824,0,0
2952,0,0
3961,0,0
240,0,1413
5527,0,0
7487,0,0
2753,0,0
2698,0,0
4467,0,0
4571,0,0
267,0,977
5467,0,0
1470,0,0
3847,0,0
3993,0,0
3064,0,0
3697,0,0
5243,0,0
5176,0,0
5542,0,0
4856,0,0
4195,0,0
6626,0,0
3798,0,0
2249,0,1943
2348,0,4461
111,0,2129
3095,0,0
4627,0,0
3386,0,0
2240,0,1040
0,8757,138
0,7381,155
0,2494,114
0,6355,452
0,2550,4704
0,0,2973
0,0,6304
0,0,4909
0,0,4795
0,5779,883
0,3995,164
0,5597,0
0,2047,0
0,7959,0
0,6304,0
0,3107,912
0,1617,1553
0,4514,0
0,7600,150
0,4943,577
0,7301,603
0,6600,1071
0,5109,0
0,11,4858
0,0,3548
0,0,5287
0,0,4806
0,2823,2776
0,2464,258
0,4290,979
0,0,5652
0,1734,1008
0,5277,0
0,5691,0
0,3983,2995
0,5918,71
0,5293,1269
0,7281,710
0,0,1152
0,3741,844
0,7693,236
0,7779,413
0,1503,3398
0,0,2373
0,7346,290
0,0,3456
0,0,1564
0,4901,0
0,6211,0
0,5544,0
0,3873,0
0,4263,0
0,4866,0
0,5360,0
0,4450,218
0,2540,2534
0,5906,0
0,6084,266
0,3672,1014
0,1231,248
0,0,2884
0,0,2983
0,341,3266
0,2804,884
0,6635,0
0,4606,675
0,0,1798
0,4111,2829
0,2956,1829
0,4533,0
0,1209,2934
0,4386,0
0,4079,897
0,0,3220
0,0,4409
0,0,4133
0,0,3041
0,0,0
0,0,4601
0,3538,1469
0,0,2640
0,0,933
0,7162,0
0,6593,0
0,6955,43
0,4322,0
0,390,978
0,6486,269
11382,0,665
293,0,3392
5893,0,150
5444,0,0
9675,0,785
4580,0,0
6232,0,0
6310,0,0
4797,0,0
3821,0,0
4870,0,0
5844,0,93
10281,0,685
3831,0,0
9678,0,0
6937,0,0
7804,0,0
0,0,5633
0,0,4756
0,0,1266
1011,0,2041
0,2320,437
0,0,1718
0,2010,447
0,5605,63
0,0,2568
0,0,3378
12238,0,2
3055,0,0
7644,0,0
4217,0,0
4319,0,0
6265,0,82
4086,0,0
3764,0,0
2795,0,0
3598,0,0
6931,0,0
4825,0,0
4925,0,0
3340,0,0
3653,0,0
4008,0,0
2483,0,0
4355,0,0
2463,0,0
5493,0,0
2406,0,0
9646,0,258
8618,0,568
4413,0,0
6682,0,0
4782,0,0
2895,0,0
6264,0,0
7559,0,0
7766,0,0
3147,0,0
1390,0,0
4287,0,0
5579,0,0
5408,0,0
3434,0,0
4679,0,0
7111,0,0
3852,0,0
6537,0,0
9743,0,0
3378,0,0
6990,0,488
9122,0,0
3539,0,0
5370,0,0
2672,0,0
2176,0,0
3894,0,0
7257,0,0
3854,0,0
5215,0,0
4161,0,0
4158,0,0
4282,0,0
5465,0,0
5173,0,0
3761,0,0
4586,0,0
6301,0,0
4897,0,0
7449,0,0
7374,0,0
3979,0,0
5116,0,0
4784,0,0
7654,0,0
5482,0,0
8264,0,0
8845,0,0
15296,0,0
5414,0,0
15389,0,190
2383,0,0
7038,0,2348
8998,0,0
11188,0,924
0,0,1471
0,0,5248
0,3345,263
0,312,4585
0,4298,20
0,6156,0
0,4531,0
0,0,3953
4062,0,707
15387,0,77
8774,0,0
4889,0,0
3616,0,0
4439,0,0
10339,0,645
2578,0,0
2661,0,0
4367,0,0
7613,0,0
0,149,2101
0,7139,565
0,4917,0
0,5451,0
0,442,878
0,6922,494
0,5710,0
0,7308,0
0,5437,0
0,112,3825
5363,0,0
490,0,0
14378,0,1467
0,8775,93
0,4051,0
9297,0,0
5733,0,0
8349,0,0
3543,0,0
7219,0,0
1896,0,668
2724,0,529
0,0,5397
0,0,4679
0,3271,2887
0,2138,1
0,6099,0
0,5094,0
0,8364,15
0,6453,219
0,2841,3434
0,2906,3092
0,7174,24
0,3734,464
0,0,2253
0,0,2226
0,5851,146
0,7243,136
0,3236,353
0,0,5906
0,5520,60
0,0,1601
0,2644,875
0,231,5243
0,0,5956
0,8145,119
1492,0,1385
0,5098,1303
0,3796,208
0,6784,0
0,3895,0
8320,0,0
5824,0,0
3454,0,110
0,0,5152
128,0,3329
0,0,2271
0,7438,8
3239,0,2041
5281,0,0
9791,0,0
6281,0,0
4348,0,1128
9992,0,29
5676,0,0
5321,0,0
4382,0,0
4795,0,63
8057,0,0
4176,0,0
4424,0,0
5699,0,0
6347,0,266
4,0,2503
0,3393,368
0,3002,0
0,2384,0
0,4619,0
0,0,4516
0,12118,0
0,9063,79
0,6423,0
0,942,2179
0,2307,1539
0,5403,171
0,2513,709
0,2703,0
0,2653,1304
0,4101,242
0,3706,323
0,2894,0
0,4234,0
0,3061,2998
0,2996,3049
0,26,3839
0,1541,1657
0,4177,3398
0,0,1822
0,0,2534
0,1311,3111
0,3188,428
0,1939,0
0,3847,299
0,0,9422
0,0,3213
0,0,3781
4731,0,0
3664,0,0
5990,0,0
3363,0,0
4199,0,0
3903,0,0
1740,0,0
3648,0,0
1731,0,0
3717,0,134
2670,0,0
4751,0,0
6150,0,0
3819,0,0
6143,0,0
4085,0,0
5412,0,0
5256,0,0
4175,0,0
4780,0,0
5210,0,0
3375,0,0
4921,0,0
5998,0,0
3357,0,0
3282,0,0
3236,0,0
3293,0,0
3672,0,0
3539,0,0
4208,0,0
2397,0,0
4219,0,0
5328,0,0
3514,0,0
2277,0,0
3152,0,0
5557,0,0
4334,0,0
5969,0,0
3493,0,0
5880,0,0
3825,0,0
3966,0,0
4962,0,0
2933,0,0
3463,0,0
5108,0,0
5837,0,0
2587,0,392
5020,0,0
2317,0,0
3236,0,0
4320,0,0
3389,0,0
3237,0,0
3890,0,0
2853,0,0
3247,0,0
5404,0,0
2230,0,0
3430,0,0
3256,0,0
1698,0,0
5551,0,0
4895,0,0
2492,0,0
2669,0,0
3085,0,0
3720,0,0
4303,0,0
5020,0,0
4252,0,0
2975,0,0
4493,0,0
4565,0,0
2982,0,0
3410,0,0
5213,0,0
5859,0,0
3375,0,0
4490,0,0
7087,0,0
4786,0,0
7560,0,0
3558,0,0
2828,0,0
3787,0,0
3069,0,0
4316,0,0
2125,0,0
3894,0,0
6655,0,0
4667,0,0
1602,0,0
3661,0,0
2201,0,0
4006,0,0
5473,0,0
3947,0,0
5543,0,0
6109,0,0
6057,0,0
5046,0,0
2776,0,0
4444,0,0
6437,0,0
4828,0,0
4156,0,0
4351,0,0
5776,0,0
3188,0,0
2913,0,0
4796,0,0
2631,0,0
4352,0,0
2471,0,0
3851,0,0
4914,0,0
3512,0,0
4279,0,0
3442,0,0
3636,0,0
2830,0,0
4028,0,0
4052,0,0
5641,0,0
4038,0,0
7210,0,0
4137,0,0
4707,0,0
3871,0,0
4694,0,0
3884,0,0
2719,0,0
3180,0,0
4987,0,0
5045,0,0
6108,0,0
4940,0,0
2844,0,0
4057,0,0
2675,0,0
3287,0,0
2310,0,0
2812,0,0
4417,0,0
3818,0,0
4838,0,0
5531,0,0
6272,0,0
4989,0,0
3741,0,0
2932,0,0
2721,0,0
3122,0,0
2365,0,0
5293,0,0
3005,0,0
3942,0,0
3525,0,0
4110,0,0
5446,0,0
5000,0,0
2833,0,0
2439,0,0
4141,0,0
3794,0,0
5050,0,0
4580,0,0
3432,0,0
4165,0,0
4596,0,0
3765,0,0
3449,0,0
2645,0,0
2945,0,0
4559,0,0
3301,0,0
4687,0,0
4247,0,0
4638,0,0
4753,0,0
2567,0,0
4995,0,0
3332,0,0
4114,0,0
5531,0,0
4500,0,0
2561,0,0
4550,0,0
3549,0,0
2030,0,0
2439,0,0
2658,0,0
3506,0,0
2748,0,0
3071,0,0
4046,0,0
4192,0,0
2779,0,0
3123,0,0
4796,0,0
2766,0,0
3262,0,0
5431,0,0
3524,0,0
4750,0,0
4843,0,0
4024,0,0
3544,0,0
3077,0,0
3083,0,0
2657,0,0
4726,0,0
2939,0,0
3573,0,0
5531,0,0
4931,0,0
4460,0,0
5818,0,0
4045,0,0
2938,0,0
2939,0,0
3549,0,0
3164,0,0
3356,0,0
2991,0,0
4037,0,0
3933,0,0
3768,0,0
3447,0,0
4769,0,0
4100,0,0
3738,0,0
4795,0,0
4822,0,0
3011,0,0
4688,0,0
3982,0,0
4114,0,0
4015,0,0
4288,0,0
3189,0,0
5639,0,0
3307,0,0
4325,0,0
4083,0,0
6409,0,0
5698,0,0
3252,0,0
3429,0,0
4902,0,0
5897,0,0
5494,0,0
4541,0,0
3751,0,0
5341,0,0
4210,0,0
3202,0,0
3299,0,0
4259,0,0
5310,0,0
6494,0,0
3763,0,0
3672,0,0
4912,0,0
3461,0,0
4449,0,0
5446,0,0
3765,0,0
3372,0,0
4922,0,0
4193,0,0
4322,0,0
4270,0,0
3732,0,0
5057,0,0
2882,0,0
3847,0,0
3498,0,0
3941,0,0
4684,0,0
3414,0,0
2887,0,0
5453,0,0
3126,0,0
3954,0,0
5287,0,0
4594,0,0
5949,0,0
3069,0,0
4216,0,0
4338,0,0
2819,0,0
3513,0,0
2967,0,0
2795,0,0
4445,0,0
2620,0,0
4255,0,0
7055,0,0
,,
4199,0,0
2717,0,0
5270,0,0
2264,0,0
4338,0,0
4157,0,0
5364,0,0
4124,0,0
4202,0,0
1939,0,0
4484,0,0
4767,0,0
5175,0,0
4462,0,0
4422,0,0
4186,0,0
2645,0,0
2851,0,0
3007,0,0
4657,0,0
3476,0,0
4633,0,0
4920,0,0
6250,0,0
2943,0,0
3539,0,0
3865,0,0
4066,0,0
2869,0,0
3707,0,0
2800,0,0
5504,0,0
3089,0,0
2738,0,0
4412,0,0
2984,0,0
4029,0,0
3091,0,0
3984,0,0
3743,0,0
5871,0,0
5881,0,0
4708,0,0
4260,0,0
2222,0,0
3205,0,0
3748,0,0
4878,0,0
4068,0,0
3000,0,0
6144,0,0
3629,0,0
4302,0,0
3812,0,0
4352,0,0
3922,0,0
3967,0,0
2065,0,0
4114,0,0
3118,0,0
3483,0,0
3480,0,0
2543,0,0
2820,0,0
2725,0,0
3881,0,0
3275,0,0
3264,0,0
3922,0,0
2805,0,0
4369,0,0
3464,0,0
6295,0,0
3712,0,0
3200,0,0
2091,0,0
3061,0,0
3081,0,0
4715,0,0
3068,0,0
1974,0,0
2936,0,0
2999,0,0
5198,0,0
3452,0,0
2899,0,0
2471,0,0
3235,0,0
3254,0,0
3132,0,0
3216,0,0
4076,0,0
3270,0,0
2347,0,0
3536,0,0
2743,0,0
3096,0,0
3293,0,0
2718,0,0
3077,0,0
3448,0,0
4452,0,0
3529,0,0
3942,0,0
2227,0,0
4021,0,0
4971,0,0
2164,0,0
2260,0,0
2304,0,0
4481,0,0
2870,0,0
3044,0,0
4758,0,0
3135,0,0
2487,0,0
4227,0,0
3728,0,0
3379,0,0
2594,0,0
2784,0,0
4742,0,0
3960,0,0
3228,0,0
3338,0,0
4135,0,0
4591,0,0
2922,0,0
2124,0,0
2327,0,0
2422,0,0
5092,0,0
3365,0,0
5551,0,0
4502,0,0
2789,0,0
3231,0,0
3770,0,0
3498,0,0
2647,0,0
3355,0,0
2867,0,0
2466,0,0
2735,0,0
2799,0,0
3628,0,0
3637,0,0
3670,0,0
5067,0,0
4389,0,0
3868,0,0
3513,0,0
3091,0,0
3458,0,0
3588,0,0
3029,0,0
2461,0,0
3335,0,0
2037,0,0
4717,0,0
2834,0,0
3185,0,0
3203,0,0
4395,0,0
4971,0,0
3340,0,0
4328,0,0
2304,0,0
2881,0,0
2603,0,0
2643,0,0
2235,0,0
1905,0,0
2216,0,0
3757,0,0
3909,0,0
3704,0,0
3509,0,0
3889,0,0
2376,0,0
5103,0,0
5066,0,0
2710,0,0
4086,0,0
4089,0,0
3031,0,0
3848,0,0
4668,0,0
3411,0,0
5631,0,0
2683,0,0
2574,0,0
4097,0,0
2519,0,0
3442,0,0
3732,0,0
4803,0,0
4311,0,0
5306,0,0
3323,0,0
2428,0,0
2288,0,0
2840,0,0
5093,0,0
4839,0,0
4844,0,0
2607,0,0
3064,0,0
5394,0,0
3259,0,0
4001,0,0
4589,0,0
2944,0,0
3078,0,0
2650,0,0
3303,0,0
4787,0,0
2363,0,0
3138,0,0
4101,0,0
4972,0,0
4478,0,0
2274,0,0
3105,0,0
2598,0,0
3766,0,0
3618,0,0
3127,0,0
7883,0,0
2957,0,0
5275,0,0
2146,0,0
3386,0,0
7540,0,0
3047,0,0
2553,0,0
2077,0,0
4521,0,0
3791,0,0
1363,0,0
2218,0,0
2589,0,0
2490,0,0
4163,0,0
6893,0,0
2201,0,0
4360,0,0
3770,0,0
2775,0,0
2656,0,0
3571,0,0
4195,0,0
4660,0,0
4309,0,0
4179,0,0
2995,0,0
2906,0,0
2339,0,0
4019,0,0
3926,0,0
5267,0,0
3216,0,0
2434,0,0
2785,0,0
5021,0,0
3914,0,0
3728,0,0
3600,0,0
2692,0,0
2791,0,0
2472,0,0
2968,0,0
3520,0,0
4431,0,0
5194,0,0
2351,0,0
3075,0,0
2645,0,0
2645,0,0
3846,0,0
3184,0,0
3095,0,0
3859,0,0
4355,0,0
2827,0,0
4750,0,0
3016,0,0
4192,0,0
3529,0,0
3221,0,0
4657,0,0
2474,0,0
3389,0,0
2507,0,0
2446,0,0
3612,0,0
2679,0,0
3344,0,0
3326,0,0
1804,0,0
2865,0,0
3052,0,0
3903,0,0
3228,0,0
2165,0,0
2767,0,0
4074,0,0
4341,0,0
2430,0,0
3635,0,0
4273,0,0
4074,0,0
2721,0,0
4198,0,0
3873,0,0
3477,0,0
2481,0,0
4951,0,0
4645,0,0
3898,0,0
3944,0,0
2877,0,0
2932,0,0
5528,0,0
3325,0,0
2411,0,0
2512,0,0
2573,0,0
3083,0,0
2586,0,0
2477,0,0
3110,0,0
2289,0,0
4911,0,0
4526,0,0
4189,0,0
2615,0,0
3709,0,0
3289,0,0
5060,0,0
2654,0,0
4977,0,0
5374,0,0
3905,0,0
3453,0,0
4530,0,0
4457,0,0
4358,0,0
5520,0,0
4714,0,0
2869,0,0
3142,0,0
2430,0,0
2176,0,0
2658,0,0
5464,0,0
2814,0,0
4798,0,0
3700,0,0
1737,0,0
4306,0,0
3310,0,0
5234,0,0
4113,0,0
5345,0,0
2334,0,0
3565,0,0
3373,0,0
3300,0,0
3378,0,0
4403,0,0
2551,0,0
3319,0,0
3359,0,0
2715,0,0
3507,0,0
3403,0,0
2816,0,0
2621,0,0
2773,0,0
3095,0,0
3664,0,0
3237,0,0
4655,0,0
3877,0,0
3965,0,0
4963,0,0
5631,0,0
3748,0,0
2433,0,0
2789,0,0
2392,0,0
2025,0,0
3224,0,0
3140,0,0
2369,0,0
3425,0,0
4856,0,0
2068,0,0
1604,0,0
3491,0,0
4906,0,0
6170,0,0
4662,0,0
3599,0,0
4916,0,0
3806,0,0
4389,0,0
4449,0,0
3219,0,0
3320,0,0
3150,0,0
5220,0,0
5049,0,0
4235,0,0
4492,0,0
5575,0,0
3216,0,0
4557,0,0
4394,0,0
5498,0,0
3343,0,0
4729,0,0
3350,0,0
3688,0,0
3824,0,0
5348,0,0
4688,0,0
4752,0,0
7110,0,0
4358,0,0
4966,0,0
5303,0,0
5968,0,0
3191,0,0
5263,0,0
3119,0,0
3926,0,0
6957,0,0
4619,0,0
6288,0,0
5895,0,0
3823,0,0
5335,0,0
2376,0,0
4098,0,0
2728,0,0
2698,0,0
5024,0,0
3888,0,0
3426,0,0
2999,0,0
4005,0,0
4520,0,0
2781,0,0
4557,0,0
4113,0,0
5265,0,0
6192,0,0
3417,0,0
3203,0,0
4113,0,0
3705,0,0
3254,0,0
3506,0,0
4388,0,0
5262,0,0
3616,0,0
3526,0,0
2675,0,0
4259,0,0
3887,0,0
3153,0,0
4371,0,0
3621,0,0
5864,0,0
4626,0,0
5267,0,0
4821,0,0
3787,0,0
4497,0,0
3562,0,0
4724,0,0
3996,0,0
3444,0,0
2879,0,0
3454,0,0
3372,0,0
3755,0,0
3313,0,0
4261,0,0
3927,0,0
3412,0,0
4902,0,0
3673,0,0
5055,0,0
5252,0,0
5691,0,0
5383,0,0
3854,0,0
5655,0,0
4932,0,0
