One_Health_Ins_ACS_10_14,Two_Plus_Health_Ins_ACS_10_14,No_Health_Ins_ACS_10_14
0,0,0
2734,733,438
2325,870,493
1490,604,335
4301,1490,852
2169,833,360
2199,619,459
717,259,252
0,0,0
3082,565,979
1534,389,272
1624,422,597
2814,706,665
2156,577,736
1775,447,107
1880,406,243
1579,322,387
3969,885,291
3461,1597,1421
2204,628,260
5256,907,377
4811,1272,349
4481,948,194
4360,452,147
4374,934,136
3466,565,254
5552,1446,293
4508,1550,749
3468,600,152
5984,1158,270
2071,360,121
2131,481,460
2287,519,178
3665,838,284
3311,1170,882
3605,1307,612
3467,864,320
2454,894,218
2941,1325,575
3141,1152,814
1649,437,235
1632,402,319
3459,1337,670
4001,1513,904
1982,691,249
3585,1244,520
2778,373,913
2390,353,140
6140,1083,193
43,34,7
361,106,209
0,0,0
231,257,57
2040,326,784
2191,568,881
3469,474,1984
1662,95,897
1614,108,1192
3644,743,1122
2259,496,941
681,66,342
2180,231,571
3130,650,1010
2308,453,1013
1936,326,789
3915,454,1159
3006,293,1274
3217,665,1468
1543,146,552
3931,530,1296
2731,388,951
1588,831,255
1285,456,190
7104,1202,2713
3943,539,990
2171,410,257
3640,792,700
5738,939,993
1047,409,569
3840,436,924
4032,680,1088
3164,630,667
1696,458,589
3516,767,1759
3218,1049,1117
2161,344,832
2227,432,656
2701,709,1041
3244,531,1295
3727,463,1467
3142,417,1897
1971,472,1061
2767,509,1245
3692,522,1398
3358,368,1368
3254,436,904
2295,491,647
1905,306,772
4027,585,1124
2094,362,733
2711,595,809
1668,420,644
5124,877,1569
3735,721,1082
2449,708,676
3437,412,1243
3916,805,1173
2253,415,647
2966,773,1239
3421,557,996
3974,569,895
2790,506,459
2054,499,893
2979,525,1260
6359,1247,1316
4439,556,851
4407,662,1923
2179,490,417
3611,665,1153
3082,449,977
4096,816,965
3316,574,1088
5494,551,1431
4705,645,1975
1806,393,369
4208,828,1407
6657,497,1033
6067,762,795
2578,434,593
4473,748,583
8536,1547,1293
2826,429,376
3090,1578,491
3710,619,501
1831,402,384
2904,1139,90
3652,1353,264
2472,1110,213
2473,411,957
3078,637,351
3321,921,643
2507,539,419
2549,538,675
2899,987,504
3021,919,1079
3052,715,978
2099,762,214
1895,550,570
1779,412,252
4787,1081,1100
2707,719,900
3706,457,697
3295,569,986
3487,667,1131
2130,425,1138
1287,202,418
2677,731,643
4264,702,865
2785,468,673
2994,417,1076
2919,752,702
3705,876,1165
3731,883,1125
3875,553,1482
2371,666,505
3290,348,1037
2582,980,481
2920,571,452
2342,514,370
2154,190,394
2683,638,762
2391,500,587
3307,1159,358
2000,353,170
4855,1279,342
4482,663,350
4622,790,317
4094,571,421
3321,1104,433
3903,555,370
2355,375,140
2808,558,373
1191,263,117
3770,758,750
6896,784,230
2958,297,47
2288,299,150
3509,722,226
3649,602,297
854,229,124
3034,1090,802
1006,315,61
2881,637,642
2679,567,614
1494,887,601
2359,672,451
4057,493,368
3747,987,352
4240,834,790
3305,859,999
2898,697,351
4459,938,1202
3136,553,471
3525,458,326
5227,1371,339
1730,358,200
2685,274,335
4967,527,554
2972,581,254
2266,618,256
6580,1102,1479
5568,1149,1268
1939,255,284
4539,539,1908
5309,1067,1230
2413,437,456
3418,1187,1020
2933,1452,741
2901,1009,370
4649,600,1477
3139,370,998
3406,670,1449
1415,293,378
5139,973,2589
4385,1082,855
2572,348,999
1997,354,666
2753,510,1093
5609,1031,2017
3787,870,733
4784,912,2143
5203,1226,1478
3387,884,837
2461,465,1823
1813,474,862
3418,765,1129
3229,578,1161
4220,617,1697
1689,318,1024
2847,279,1782
0,0,0
2267,518,1049
4585,717,608
5145,560,1073
4316,495,2019
3279,449,2066
3817,531,2074
5063,933,2286
1002,97,245
2707,374,1577
5065,482,2177
5670,1097,1440
2876,1057,852
1210,340,343
4564,1413,1446
2466,451,844
765,398,478
2644,454,934
3797,1152,1308
4083,1024,1015
2686,636,640
1997,714,1060
3047,835,898
3812,1175,585
3372,863,917
3376,895,841
4138,694,1296
3940,1154,1234
3532,875,643
779,148,482
1530,321,560
1338,594,480
2380,631,625
2390,505,534
4990,1540,1226
3919,1043,624
1403,322,195
4644,1389,1008
2201,644,904
2680,971,900
2642,824,571
2712,1262,748
3084,819,898
1947,741,630
2017,528,1322
1826,358,1552
2146,390,575
0,0,0
135,6,49
5336,964,1246
1401,279,487
605,199,206
5963,692,870
4583,865,1305
4595,1106,822
2764,781,1074
984,228,327
4505,1099,1160
9053,1488,1547
2142,527,469
4569,847,965
3750,964,702
6011,1039,2235
2923,589,1237
3581,848,1551
3758,1115,1374
3232,606,1163
2484,546,469
3455,640,1172
5023,848,556
6890,1750,2785
2648,767,1211
6068,1083,2017
4366,825,1638
4625,1100,1986
749,156,202
2915,671,1449
143,326,45
1358,371,554
1602,732,223
1074,310,229
1655,872,227
4098,965,739
1541,520,336
1701,543,700
9212,1287,2117
2195,402,541
5740,810,1407
2910,604,867
2740,766,989
6084,687,369
3519,784,207
2744,702,211
2104,279,389
2499,673,531
4324,699,1189
3458,621,878
2956,693,1082
2731,536,846
2669,686,795
3070,658,567
1507,335,711
2631,690,556
1974,357,448
4126,669,719
1588,415,288
7901,1570,1087
7046,999,2231
3517,331,920
4007,429,2060
4069,305,1214
1613,246,1155
4108,339,1417
5085,613,1507
5826,1052,1699
1723,230,729
864,217,443
2425,602,1053
4754,779,607
4200,537,367
2543,445,798
3140,534,1284
4328,1109,1991
2142,235,949
3812,351,1641
6819,1131,2301
1927,372,1145
5842,804,1824
4601,897,3094
2531,350,619
4275,510,1316
1220,1124,244
1710,225,236
2658,698,195
5607,967,914
2696,737,61
4073,376,1103
2743,473,1110
2885,513,903
3371,440,1101
4331,514,1274
3427,451,1020
2893,435,480
3447,568,579
5231,732,580
4035,338,375
4334,1082,1367
5665,677,1763
2054,445,1311
3822,580,1256
3681,365,1147
4710,1334,1375
4174,612,1152
5076,792,2251
5804,487,2321
12894,2258,2010
4195,387,711
11313,1552,4335
1726,256,251
7330,803,732
7682,858,1646
10267,1170,2402
1179,103,212
1339,263,447
2264,583,477
4055,526,571
2739,547,880
4212,873,1375
3354,663,850
2811,376,612
4169,608,385
11858,1557,938
7713,959,851
3673,553,324
2139,507,179
3600,268,324
9523,1167,506
2154,382,40
1945,523,254
4091,577,337
6024,918,818
583,77,163
5061,579,1935
3877,537,599
3853,426,1274
799,182,298
5195,601,1967
0,0,0
4799,614,1997
3397,411,1336
2712,185,941
0,0,0
0,0,0
6950,1281,3917
5797,351,2277
2073,332,1677
7582,898,2111
3332,419,1288
5476,816,2611
2430,270,577
5251,871,808
1463,670,159
2662,740,186
3028,1712,645
2255,1758,467
2991,1259,1485
1256,357,161
3758,1627,540
3704,976,381
5544,1391,1374
4883,1595,798
4145,1078,533
3299,974,867
5222,1224,808
2804,1105,862
1648,414,172
1151,709,4
4565,1362,586
4952,914,1979
2408,521,748
317,0,56
4213,742,819
1245,307,201
2376,538,512
4276,856,491
4188,1250,259
5945,1131,1305
2044,361,839
4428,290,2169
2318,218,1630
4055,513,2200
2207,264,1653
5174,559,2965
4002,221,2290
1823,286,1209
1508,413,354
2127,418,635
1440,328,332
3835,430,0
3767,788,945
3645,827,801
6500,1555,1515
4031,512,1137
3305,742,1038
7771,1260,1191
3748,1020,240
4206,955,661
3008,791,655
3719,650,594
5228,1270,1525
2659,917,263
3311,785,678
3928,447,1457
3697,828,1699
1735,386,606
3345,461,779
2091,353,715
1527,219,427
3107,413,699
2813,239,1592
0,0,0
6621,799,2498
0,0,0
1737,633,641
1748,1016,337
3299,1031,769
1773,648,1040
1011,592,425
1838,1197,435
2361,1219,1005
2643,925,433
1458,502,606
2441,598,933
3607,1866,1297
4181,1105,1170
1818,1022,839
1965,802,786
5143,1435,1214
686,288,155
1536,434,397
2955,728,406
2426,487,348
1005,299,219
3125,593,301
706,140,275
2409,630,218
1314,490,222
3511,521,786
2580,404,500
3667,559,1984
1575,463,792
2929,695,596
2761,697,847
1375,206,366
2513,429,401
1145,244,491
2741,540,375
2172,377,415
3412,667,654
3638,965,1481
2377,638,295
5304,740,815
2564,387,770
3690,361,1820
3214,460,1402
2697,607,826
2833,389,1369
2964,473,1393
2181,247,714
2712,390,1926
3223,511,2134
2652,251,606
1822,173,856
1906,180,759
1881,151,874
2375,287,891
2204,286,931
2702,263,871
1435,160,543
3353,161,843
4320,400,1009
1968,233,1089
1494,76,658
2018,287,619
4780,621,1098
3429,476,677
4386,523,968
2550,435,470
4023,415,1243
2040,286,932
2343,236,798
3628,465,1196
1699,265,510
2619,207,943
3865,470,515
3678,545,1439
2486,621,185
3179,470,1135
1562,397,217
2227,476,612
3522,725,205
2553,721,223
2587,312,509
2946,292,1110
1818,257,519
2035,253,863
3415,477,1230
1790,397,143
2708,528,486
2682,504,103
1478,223,160
4601,663,431
4510,786,595
1443,396,332
2082,288,303
2576,436,493
2219,532,802
3356,423,1055
3312,669,1290
2762,631,623
1904,430,620
3478,630,569
3097,802,486
2171,251,595
2298,676,399
3574,781,803
4839,872,452
2845,449,547
3442,919,437
4990,611,1682
3631,643,730
5626,1073,1219
2290,737,656
2002,617,354
2959,800,214
2297,525,354
3493,618,418
1476,467,243
2608,896,480
4805,500,2172
2979,506,1193
1093,232,294
2674,803,543
1832,385,149
2680,684,744
3992,418,1206
2631,686,605
4077,760,876
4591,597,1669
4610,573,1226
3552,1166,408
2405,275,190
3148,477,626
4976,840,1037
3188,450,1165
3018,607,459
2731,339,1164
4000,546,1205
2361,273,913
1900,211,899
3516,374,1222
1771,318,598
2844,300,1317
1717,274,396
2972,451,505
3832,751,719
2458,414,617
2740,426,820
2470,111,1295
2187,126,1188
1963,185,1056
2454,133,1414
2109,204,1366
3866,388,1592
2686,287,987
4503,613,2106
2299,376,1344
2823,536,1179
2382,454,782
2953,260,1548
2003,179,1570
1769,305,569
2334,194,948
3113,518,1712
2964,729,1106
4245,575,1414
3364,634,1116
1721,152,1023
3176,222,1488
1320,176,1231
1877,170,1171
1689,239,669
1824,321,781
2459,202,1748
2214,242,1188
2566,325,1763
3732,653,1224
4084,1117,1737
2754,508,1680
1938,497,1206
1930,246,1122
1769,331,426
1814,419,514
1529,188,542
3384,229,1202
1595,466,557
2092,254,1117
2017,582,673
2193,508,1607
3122,746,1635
2971,359,1341
1916,279,755
1312,262,664
2770,313,1550
1968,264,1441
2869,381,2003
2341,193,1803
2182,269,1009
2849,430,1328
2673,493,1122
2276,239,1200
2189,270,849
1830,235,743
1897,158,797
3010,507,1019
1933,308,1057
2386,811,1321
2384,427,1193
2832,303,1502
2684,693,1438
1465,251,834
3168,582,1545
2267,299,830
2598,410,1071
3698,654,1190
2325,449,1589
1789,317,435
3707,666,524
2297,196,1222
1322,129,745
1435,255,936
1377,155,1056
1845,354,1102
1518,183,956
1570,225,1432
2405,402,1002
2667,435,978
2251,280,649
2537,436,462
3461,523,700
1672,380,822
2401,261,677
4270,481,1202
2513,225,1221
2922,390,1499
3275,838,1410
2039,215,1310
2685,273,883
2159,243,771
2058,473,861
1921,308,315
3193,319,1853
2010,326,891
2436,320,1000
3950,363,1188
2968,545,1393
2886,470,1040
3648,510,1961
2371,314,1281
1762,162,983
1872,428,522
2721,164,735
2686,272,716
2307,252,980
1532,324,993
2625,391,941
2662,298,962
2652,248,1518
2038,256,943
2786,387,1604
2504,300,896
2084,266,933
2511,328,1787
3610,274,1691
1812,282,1042
2606,362,1989
1653,231,1496
2986,435,790
3403,455,631
2695,295,1262
2482,306,171
4196,533,785
2328,316,644
3245,629,612
2770,317,648
3763,655,2152
3828,406,1322
2574,428,418
2297,334,613
3155,595,1009
4067,667,1584
3849,364,1058
3153,263,1426
2586,237,741
3370,366,2290
3698,319,1046
2501,317,604
2227,560,418
2921,390,1086
3520,521,1264
4057,775,2204
2011,466,805
2661,308,970
3324,430,1541
2618,470,755
2971,389,1377
3557,966,1146
2185,224,1469
2422,353,1163
4118,592,1255
2740,578,1009
2804,313,1060
2859,512,1032
2753,551,398
3941,834,753
2052,395,416
3060,248,1404
2508,438,405
2779,728,165
3536,857,584
2513,688,418
2263,397,24
2926,519,1730
1709,95,955
2454,258,1247
3044,227,2610
2713,418,1671
4370,582,1271
2096,471,529
3403,275,1530
2789,554,1457
2577,499,280
2826,678,375
2264,249,555
2419,401,267
3737,763,374
2027,459,196
3137,680,644
5422,1108,629
,,
3622,428,385
1871,568,365
4034,726,1091
1867,254,115
3231,1001,230
3346,708,355
4180,1063,645
3031,357,424
3177,719,318
1422,322,79
3713,558,287
3984,474,285
4420,494,474
3383,948,664
3391,447,829
3102,390,1095
1966,347,663
2371,302,249
2075,493,353
3082,769,1459
2107,735,734
3481,920,589
3766,1037,348
4511,1200,480
2152,340,216
2343,756,111
2924,784,122
3614,424,533
2335,380,341
3064,282,534
2062,495,448
3985,959,661
2298,365,627
2451,362,493
3509,808,154
2483,546,113
3041,819,90
2522,524,144
3474,568,358
3109,249,732
5103,505,852
4742,708,671
3476,489,600
3059,564,397
1823,167,239
2157,313,554
3027,281,281
4304,710,427
3493,597,180
2326,324,213
4698,1070,304
2557,555,507
3024,713,708
2772,495,447
3511,498,560
2598,311,714
2726,348,1082
1595,287,261
3008,406,918
2347,234,337
2192,537,505
2457,476,438
1526,401,419
2477,192,488
1771,267,625
2295,283,952
2106,154,1118
2172,367,704
2355,283,854
2331,381,540
2731,354,1066
2379,204,1337
4196,885,1060
2604,325,937
1905,369,804
1441,313,226
1996,287,1416
1653,365,742
3267,716,662
2210,522,813
1375,318,354
1989,537,320
1753,191,905
3050,665,833
2023,418,1138
1816,319,893
1706,160,734
1935,690,243
2180,328,599
1932,320,657
2391,321,684
2551,266,961
2701,259,295
1726,252,386
2095,659,716
1745,596,419
2384,289,343
2433,309,685
1825,367,393
2329,571,247
2546,502,463
3141,387,747
2668,211,730
3135,331,385
1475,331,220
2724,482,985
3372,594,1159
1452,236,398
1686,259,641
1551,294,617
3176,478,1134
1699,317,745
2087,381,720
2353,530,1988
2121,359,855
1404,292,565
2749,297,1768
2282,541,962
1851,342,1019
1342,517,484
1543,243,897
2090,329,1733
2508,488,1341
2486,249,1016
1437,553,1420
2094,520,1510
2433,810,1198
1369,502,784
941,238,730
1512,375,654
1293,400,740
2662,306,1887
2059,179,1743
2898,351,2175
2285,302,1837
1291,410,1268
1368,357,1140
1958,281,1768
2292,104,1346
1632,144,912
2214,321,853
2504,324,292
1727,432,221
1996,320,308
2111,266,398
2924,287,365
2572,231,1337
1893,283,1735
2949,357,1909
2552,505,1896
1763,138,1920
1712,205,1408
2157,191,751
2903,384,212
2880,458,231
2968,487,228
1686,347,261
2986,214,342
1479,259,222
3248,829,694
2365,282,318
2481,362,477
2703,341,474
3066,524,429
3846,383,705
2199,301,739
2424,483,1850
1523,140,543
1313,221,1163
1947,317,615
1562,277,516
1597,267,644
1558,161,257
1693,179,591
2603,443,879
2648,355,988
2870,345,747
2129,315,871
2396,378,1269
1671,220,632
2803,456,1886
3122,598,1450
1674,322,510
2503,334,1216
2613,333,1375
1807,232,696
2643,390,714
2931,462,1324
1999,359,962
2797,605,1681
1830,280,791
2309,285,557
2529,588,1310
1654,194,734
1851,364,904
2079,824,549
3332,633,1080
2909,733,932
3284,468,1617
2185,263,843
1238,187,408
1338,298,639
1895,196,1020
3687,600,1550
3140,307,1003
2960,249,1655
1031,112,287
1933,372,1228
3012,334,1355
1827,368,1052
2121,305,2111
3236,323,1332
1614,196,1067
1860,415,951
1808,172,760
1823,250,1121
2777,483,1776
1103,185,713
1694,236,806
2787,228,1792
2812,380,1598
2888,256,1321
1540,220,685
1804,240,877
1505,172,881
2209,205,1153
1705,344,1444
1555,182,859
345,14,82
2178,193,780
2990,643,1500
1165,446,689
1337,842,857
2218,1144,1779
1718,678,808
917,782,651
1057,336,694
2641,663,1121
2933,240,718
7,21,1
1546,237,328
1195,977,219
2013,410,502
3290,299,710
4779,265,1729
1230,79,954
2218,310,1765
2293,432,2114
1687,266,1208
1478,227,906
2322,217,1292
2680,405,998
2615,442,1490
1906,208,1738
2377,250,1739
1678,299,1444
1323,194,1494
820,29,1308
1161,185,2175
1160,271,1982
1784,355,2713
1101,83,2206
1137,252,916
1480,210,1065
2381,447,1900
1576,236,1812
1591,147,2073
1644,400,1416
1107,61,1410
1033,159,1230
1015,93,1194
1528,157,1206
1624,451,1415
3415,578,304
3111,326,1861
1453,105,713
1616,180,1049
1486,117,1462
961,242,1476
2234,231,1927
1729,250,1083
1492,276,1016
2006,312,881
2733,500,1626
2079,267,695
2567,309,2101
1545,352,883
2164,228,1815
1648,87,2034
1718,239,1079
2068,220,2639
1022,99,1057
1625,207,1774
1203,172,953
1297,378,592
1938,194,1552
1663,125,997
1912,159,1572
1812,55,1447
820,89,985
1595,109,1304
1337,164,1762
1633,198,1992
1661,172,1502
1139,102,835
1394,124,1212
2118,294,1492
2350,253,2083
1350,289,760
2592,357,747
2351,510,1020
2211,507,1983
1556,251,1171
2152,233,2191
2180,272,1494
1824,315,1776
1130,211,892
2853,201,2752
2630,213,1977
3143,512,128
3234,612,252
2420,144,445
2165,260,480
3857,314,912
2523,185,661
2075,379,175
1965,287,198
2258,451,266
1867,574,251
2100,532,212
1823,98,488
2455,208,577
1877,462,222
3417,678,623
4001,484,419
3384,743,704
2156,486,324
2675,492,720
2609,201,595
3612,749,791
2181,348,282
3952,639,991
4308,580,680
2649,385,786
2060,495,926
2725,339,1979
2415,263,1160
2686,760,1277
3696,630,1465
2753,670,794
1856,318,906
1969,478,937
1455,498,445
1277,407,466
1549,314,735
3848,513,1653
2077,236,644
1931,460,1796
2550,478,1206
1095,340,228
2292,488,1383
1590,354,1089
2595,601,1489
2218,421,1278
3259,736,2165
1394,673,213
1719,192,1727
1798,168,1275
1647,129,1222
1858,121,1632
1934,348,2967
1256,199,1088
2084,234,1498
1638,612,676
1412,296,913
2116,478,1137
2026,275,1180
1848,226,881
1695,332,798
2027,229,377
2503,391,344
2883,402,589
1926,321,900
2500,586,1226
2588,422,964
2598,364,1160
2881,305,1802
4193,172,1170
3508,216,123
1101,235,798
1396,134,997
1273,155,1078
1098,148,930
1775,173,1235
2368,348,825
1376,203,675
1963,205,1058
5256,574,424
1110,128,818
751,171,581
1944,209,1376
2767,386,1899
