HouseHoldId,Single_Unit_ACS_10_14,MLT_U2_9_STRC_ACS_10_14,MLT_U10p_ACS_10_14,Mobile_Homes_ACS_10_14
439,1727,196,289,222
440,1255,0,0,0
441,1978,31,18,80
442,2047,117,40,113
443,1640,148,18,0
444,3189,11,0,0
445,2156,156,155,33
446,3116,220,191,23
447,2864,65,222,0
448,2202,44,0,0
449,2571,162,100,0
450,1294,42,0,244
451,3343,25,0,25
452,1308,0,48,0
453,423,17,9,43
454,1692,0,20,0
455,1811,10,0,0
456,2134,29,0,28
457,1454,606,507,0
458,959,0,10,157
459,1479,300,79,7
460,888,213,153,0
461,1342,31,200,0
462,1553,175,126,0
463,610,329,164,87
464,476,818,350,0
465,1397,0,11,0
466,1502,339,704,194
467,2462,14,131,12
468,1482,0,0,0
469,864,67,238,0
470,1366,288,99,0
471,1303,140,104,0
472,583,151,81,0
473,1447,554,623,203
474,1167,153,180,0
475,2043,329,216,0
476,923,0,33,0
477,1277,441,104,0
478,514,0,0,0
479,1327,177,119,0
480,1327,39,0,362
481,1201,229,288,64
482,1426,546,212,353
483,1376,77,0,332
484,1184,8,22,0
485,85,305,80,0
486,709,282,100,0
487,1116,106,308,0
488,2477,389,279,0
489,1091,15,156,0
490,926,26,81,0
491,2031,206,297,0
492,2073,198,248,14
493,2695,63,0,0
494,1579,95,128,0
495,1355,552,506,10
496,2229,159,253,0
497,1533,232,27,0
498,458,437,2022,60
499,882,750,936,0
500,1680,199,397,0
501,1223,14,210,0
502,1138,425,255,1083
503,81,106,1274,0
504,2168,142,64,0
505,1962,50,0,10
506,2085,186,512,37
507,2336,287,305,0
508,1194,148,178,0
509,1233,175,187,0
510,2157,108,32,0
511,1067,224,314,5
512,1423,764,1100,0
513,1660,57,5,23
514,2411,51,393,0
515,1245,22,0,29
516,390,489,709,9
517,352,587,1731,79
518,1033,114,58,29
519,359,623,719,62
520,1040,128,76,0
521,1597,491,499,501
522,2038,61,260,0
523,961,418,319,207
524,1367,33,31,0
525,1262,128,73,0
526,784,555,1363,0
527,1845,698,315,0
528,996,0,127,0
529,2074,113,0,0
530,45,240,1717,0
531,437,716,2430,0
532,1562,462,503,0
533,2805,214,29,0
534,1353,132,577,8
535,1186,331,698,0
536,1355,362,377,0
537,1318,104,100,0
538,1390,388,242,0
539,1220,7,0,0
540,1460,98,275,8
541,2176,98,136,0
542,2227,791,260,0
543,1078,435,450,0
544,1327,346,826,0
545,1471,14,0,0
546,2550,105,0,0
547,1692,92,140,0
548,914,0,6,0
549,1972,501,811,19
550,2165,359,245,0
551,1302,0,0,0
552,1273,5,8,43
553,2073,0,0,0
554,2624,12,185,0
555,1456,0,0,0
556,2528,16,57,0
557,2207,154,64,0
558,1770,0,0,0
559,1317,182,478,0
560,1618,493,463,0
561,501,1265,339,0
562,650,1550,888,0
563,463,917,15,19
564,2151,16,0,15
565,809,29,5,0
566,1767,110,8,0
567,1634,414,304,0
568,907,124,33,5
569,1273,18,51,0
570,1482,22,0,0
571,727,0,0,0
572,2405,0,147,0
573,1544,0,0,143
574,3710,17,130,0
575,2043,0,117,21
576,1269,0,0,12
577,1767,133,82,0
578,2126,0,45,0
579,1650,78,0,0
580,3239,73,245,0
581,742,24,1137,0
582,1808,39,78,0
583,1923,69,22,0
584,1961,391,329,0
585,2625,205,0,15
586,1224,0,0,8
587,2752,284,202,0
588,1802,57,0,20
589,1065,47,44,36
590,1766,254,44,0
591,1118,447,103,0
592,1499,494,111,0
593,1372,269,340,0
594,1534,336,243,0
595,581,288,81,0
596,1297,272,0,5
597,2150,51,136,0
598,2029,158,129,14
599,1428,0,97,0
600,1625,14,142,0
601,1504,0,0,43
602,1347,199,312,58
603,1310,336,224,0
604,1184,68,0,0
605,2236,312,276,0
606,1590,213,101,0
607,1082,499,196,0
608,728,285,1506,0
609,1067,156,71,16
610,1418,269,163,5
611,1270,79,745,0
612,1042,254,432,0
613,1021,378,33,0
614,603,172,115,47
615,768,459,1100,172
616,655,378,46,7
617,916,244,7,8
618,1681,328,42,0
619,2000,355,10,0
620,902,177,25,79
621,1204,504,166,8
622,662,579,15,0
623,1314,482,280,8
624,1193,831,423,13
625,959,457,562,0
626,1393,648,49,22
627,1195,1344,312,0
628,1589,511,109,0
629,1363,858,534,58
630,1536,528,96,0
631,1628,37,11,0
632,1130,40,0,0
633,564,12,0,0
634,613,360,527,0
635,827,129,198,0
636,902,272,18,0
637,560,284,74,0
638,211,566,28,12
639,938,24,0,0
640,773,4,0,5
641,1078,73,0,0
642,1115,42,0,7
643,2700,30,395,205
644,744,88,86,6
645,0,0,0,0
646,1051,501,248,38
647,1110,57,97,315
648,219,123,110,426
649,2517,189,7,400
650,1155,0,27,330
651,1192,79,0,433
652,310,36,0,219
653,0,0,0,0
654,1842,665,302,83
655,1273,362,65,9
656,1555,694,49,51
657,2763,529,79,133
658,1443,598,220,340
659,1738,10,0,0
660,2105,26,7,0
661,1966,124,0,0
662,2029,0,0,88
663,2755,42,0,213
664,1828,15,0,201
665,1992,80,73,0
666,1888,74,369,90
667,1970,109,138,0
668,1627,24,0,0
669,1854,11,0,8
670,1518,0,15,60
671,2244,270,537,208
672,2065,148,52,193
673,1270,104,90,0
674,2195,179,107,0
675,812,163,27,0
676,1005,257,154,22
677,1216,0,0,35
678,1850,2,0,65
679,1732,361,82,284
680,1796,412,201,38
681,1802,214,65,26
682,1418,36,0,151
683,1679,205,30,451
684,2699,0,0,395
685,998,0,0,34
686,1159,0,5,8
687,2527,0,14,61
688,1743,257,245,464
689,1032,28,6,105
690,1830,33,0,403
691,1466,1116,609,51
692,873,4,6,14
693,2226,0,0,13
694,874,4,0,11
695,2571,92,40,30
696,0,0,0,0
697,19,65,411,0
698,557,282,13,15
699,806,276,106,0
700,1165,216,17,0
701,379,337,128,0
702,344,596,194,0
703,713,937,540,0
704,1050,151,64,0
705,170,43,31,26
706,418,288,72,0
707,585,693,93,29
708,837,118,105,4
709,796,13,26,0
710,1275,137,16,68
711,723,328,155,0
712,1266,162,38,39
713,409,148,47,17
714,578,431,352,67
715,180,1233,315,23
716,342,708,230,0
717,606,62,0,0
718,2001,122,13,506
719,775,603,481,12
720,703,0,34,4
721,1563,0,0,27
722,2153,114,87,0
723,492,48,4,153
724,1159,292,69,81
725,1444,7,42,292
726,1303,7,0,70
727,793,0,0,106
728,960,453,41,437
729,1912,179,149,0
730,876,698,74,0
731,902,384,92,17
732,898,465,81,31
733,689,371,405,0
734,647,678,26,0
735,1021,401,8,45
736,862,120,57,15
737,1222,31,0,20
738,853,466,191,0
739,856,403,18,63
740,501,468,339,0
741,728,40,36,0
742,417,271,306,4
743,859,446,278,16
744,431,232,206,3
745,446,540,333,8
746,617,17,69,66
747,1241,997,473,111
748,1177,634,430,0
749,660,623,339,12
750,1147,227,81,29
751,897,611,254,0
752,844,338,0,8
753,1111,483,25,13
754,899,527,232,26
755,1455,621,95,33
756,1595,184,32,0
757,740,314,84,0
758,1100,483,91,5
759,2416,0,0,62
760,1582,1,31,17
761,1009,619,469,415
762,737,326,11,33
763,1431,42,0,26
764,1031,412,189,0
765,1569,77,11,0
766,1343,8,6,375
767,1832,273,56,0
768,1347,394,178,159
769,869,31,9,7
770,1164,584,200,159
771,2138,293,53,98
772,2413,114,0,0
773,733,572,243,0
774,1878,205,138,0
775,2109,1828,529,87
776,966,278,68,10
777,1912,0,72,0
778,1358,42,57,0
779,857,13,0,0
780,1633,106,82,6
781,2007,0,102,17
782,1814,109,10,9
783,634,340,239,0
784,1445,75,20,8
785,916,767,324,449
786,662,663,386,9
787,968,407,115,0
788,1539,314,289,0
789,851,746,339,267
790,609,804,766,0
791,1101,328,153,0
792,1041,161,0,0
793,1029,21,21,0
794,1232,698,276,349
795,1005,276,72,0
796,880,535,209,0
797,771,482,404,9
798,927,447,315,0
799,952,312,340,38
800,596,46,70,0
801,1160,226,126,37
802,1389,450,401,0
803,538,280,441,9
804,789,167,539,137
805,927,381,144,0
806,1533,188,247,12
807,837,889,363,0
808,709,1144,357,0
809,960,132,111,0
810,371,687,605,0
811,1324,266,52,0
812,1418,53,21,0
813,989,100,211,0
814,15,32,402,0
815,557,596,430,0
816,814,296,124,6
817,1578,0,274,207
818,847,0,11,0
819,2209,0,0,0
820,1710,375,159,18
821,1791,175,21,0
822,1303,319,114,0
823,1351,475,569,0
824,1401,149,37,8
825,917,86,7,0
826,1226,126,107,0
827,542,0,0,76
828,1611,784,426,0
829,2510,108,55,0
830,1088,12,28,0
831,797,0,0,15
832,1423,0,35,18
833,1624,11,0,0
834,405,8,29,0
835,762,867,697,0
836,499,10,26,0
837,1054,221,77,0
838,228,889,496,299
839,540,311,42,598
840,1053,244,60,24
841,1656,111,57,31
842,1831,0,6,0
843,1179,490,143,0
844,1480,119,255,18
845,1379,44,0,0
846,1821,28,12,287
847,1239,14,0,0
848,1499,0,0,16
849,2345,12,0,151
850,786,0,12,63
851,874,86,58,0
852,1816,0,0,14
853,1101,10,0,71
854,1122,0,38,34
855,2327,497,188,157
856,1725,349,26,66
857,568,93,45,6
858,1597,191,0,30
859,2298,45,0,191
860,3792,293,10,107
861,1952,34,0,1100
862,1673,0,0,466
863,1390,0,0,494
864,1102,481,70,36
865,950,180,144,0
866,1099,419,115,0
867,505,157,52,0
868,1330,497,132,23
869,1921,145,32,152
870,1008,87,75,5
871,679,118,0,110
872,1059,273,115,0
873,2197,105,38,0
874,1260,283,68,233
875,1608,243,15,158
876,2332,347,48,69
877,1271,76,152,179
878,1127,22,0,278
879,901,8,0,139
880,1208,95,0,162
881,984,41,0,373
882,1263,60,20,225
883,469,121,15,54
884,636,661,137,60
885,0,0,0,0
886,531,140,16,312
887,1744,384,16,0
888,1519,520,190,138
889,1321,549,12,106
890,895,526,59,0
891,1336,287,78,28
892,1554,529,185,233
893,264,8,12,112
894,657,463,50,25
895,1480,383,123,17
896,2411,373,217,56
897,1414,6,0,431
898,774,13,6,182
899,2268,587,214,61
900,897,38,8,205
901,566,0,0,120
902,649,1214,212,10
903,1657,792,113,17
904,1846,421,47,0
905,1343,109,59,132
906,846,710,417,19
907,1853,234,89,0
908,1983,396,179,0
909,1795,267,56,35
910,2038,59,2,228
911,824,1044,744,0
912,1915,604,94,344
913,939,610,165,335
914,536,139,0,44
915,1347,92,3,299
916,1434,69,1,246
917,1336,109,32,287
918,1338,88,0,149
919,2113,619,109,182
920,1851,168,45,349
921,789,23,25,40
922,2319,409,21,243
923,1718,189,3,99
924,1005,466,171,90
925,1620,48,1,308
926,1379,166,15,183
927,1828,253,0,136
928,1515,142,25,72
929,2306,128,0,181
930,1782,192,27,170
931,799,28,30,399
932,0,0,0,0
933,75,0,0,21
934,1690,525,71,304
935,579,210,22,64
936,235,8,0,114
937,1520,537,114,161
938,1694,272,253,0
939,1779,467,154,43
940,1009,277,68,166
941,389,13,0,106
942,1545,317,165,164
943,3500,397,47,144
944,480,247,55,517
945,1807,166,65,57
946,375,734,409,467
947,1832,174,127,619
948,980,325,7,18
949,928,687,301,165
950,1626,370,191,32
951,1194,127,189,0
952,1227,0,13,0
953,1059,382,410,0
954,1582,115,54,346
955,2266,260,302,218
956,674,433,29,14
957,2087,191,213,0
958,1006,612,277,146
959,1556,270,13,31
960,703,8,4,223
961,1634,0,50,947
962,545,62,0,514
963,806,60,20,355
964,487,8,0,851
965,794,8,14,181
966,1047,14,0,102
967,1262,398,400,398
968,1015,27,1,354
969,1250,94,42,483
970,3246,1145,270,17
971,964,221,66,0
972,2298,709,92,0
973,1268,357,12,196
974,528,545,86,658
975,2271,0,0,0
976,1118,385,226,22
977,1268,95,30,0
978,308,383,483,18
979,1241,0,9,125
980,682,994,641,459
981,1807,126,0,8
982,1555,85,8,36
983,963,292,139,0
984,1015,257,189,12
985,1027,178,313,0
986,713,147,0,0
987,1167,132,9,0
988,636,97,0,0
989,1465,393,98,0
990,920,29,0,0
991,2376,945,263,509
992,2544,0,0,185
993,808,141,94,284
994,1507,188,9,111
995,1019,179,126,30
996,693,78,15,8
997,878,861,85,8
998,1231,1009,77,21
999,1659,722,36,31
1000,670,84,25,0
1001,248,256,230,5
1002,1091,721,178,0
1003,1251,574,313,23
1004,1187,997,69,0
1005,1175,307,22,0
1006,1164,652,202,0
1007,1497,629,491,0
1008,799,217,30,11
1009,1282,431,44,24
1010,2194,227,106,157
1011,617,177,96,18
1012,1794,112,318,106
1013,1743,502,80,242
1014,900,74,17,29
1015,1639,205,68,10
1016,1296,127,178,0
1017,269,331,484,0
1018,1403,48,0,9
1019,2012,384,617,10
1020,1480,0,0,0
1021,774,750,716,8
1022,550,949,301,9
1023,727,616,315,5
1024,858,464,173,0
1025,1126,353,177,248
1026,999,741,130,0
1027,971,468,67,0
1028,1070,658,62,8
1029,2066,0,0,15
1030,1515,148,9,0
1031,1630,379,515,35
1032,1807,177,0,154
1033,972,16,79,31
1034,1118,488,244,63
1035,809,426,102,212
1036,1747,345,65,348
1037,1223,177,128,35
1038,1464,639,129,333
1039,2017,181,35,112
1040,4367,205,51,0
1041,1439,41,0,194
1042,3557,382,0,412
1043,777,0,0,0
1044,2977,4,3,48
1045,2474,22,0,88
1046,3561,15,10,0
1047,333,17,0,228
1048,529,21,0,373
1049,1549,0,33,212
1050,2674,0,42,441
1051,1278,119,0,100
1052,1813,378,165,109
1053,1583,110,21,5
1054,855,30,0,302
1055,1823,0,0,9
1056,4488,66,95,22
1057,2793,0,16,0
1058,1598,19,0,0
1059,1128,40,67,21
1060,1387,185,33,0
1061,3194,339,21,254
1062,849,25,0,7
1063,752,122,22,118
1064,1219,225,241,63
1065,2592,0,0,25
1066,220,28,0,25
1067,1840,18,21,50
1068,1298,205,40,0
1069,715,527,107,161
1070,300,19,7,66
1071,1483,274,198,132
1072,0,0,0,0
1073,1972,125,28,48
1074,834,451,157,57
1075,541,52,28,424
1076,0,0,0,0
1077,0,0,0,0
1078,2585,85,1,185
1079,1648,273,42,52
1080,791,131,6,29
1081,1576,873,173,0
1082,824,365,211,98
1083,1961,70,7,0
1084,401,224,148,193
1085,1719,245,48,30
1086,723,94,67,285
1087,1514,79,22,0
1088,2799,98,37,1350
1089,1144,74,43,1448
1090,2124,55,19,1667
1091,317,515,5,0
1092,1831,609,32,412
1093,2006,143,13,0
1094,2760,660,83,289
1095,2136,630,187,94
1096,1662,31,16,1163
1097,1415,59,0,782
1098,2898,846,145,0
1099,1683,136,9,364
1100,937,121,49,124
1101,745,35,5,0
1102,2091,20,12,81
1103,1767,380,303,610
1104,1075,385,59,44
1105,0,0,0,0
1106,1629,595,9,22
1107,553,0,0,435
1108,1446,0,0,124
1109,2089,72,0,397
1110,2804,143,14,112
1111,2585,559,146,213
1112,579,109,5,195
1113,1343,0,0,198
1114,819,62,19,168
1115,1067,519,99,109
1116,886,175,18,12
1117,1610,334,27,156
1118,862,308,197,115
1119,603,151,8,144
1120,891,53,10,524
1121,1034,5,0,133
1122,662,0,15,131
1123,1367,336,0,0
1124,1602,77,17,206
1125,1308,270,213,142
1126,2547,750,173,53
1127,1280,529,322,30
1128,1337,189,69,30
1129,2778,53,185,0
1130,1689,495,291,0
1131,1872,96,59,36
1132,1252,110,46,303
1133,1293,187,128,34
1134,1882,762,461,29
1135,1250,113,109,95
1136,797,465,92,0
1137,1652,18,34,0
1138,1272,333,139,162
1139,739,6,0,109
1140,658,381,104,110
1141,747,69,11,7
1142,544,35,44,68
1143,1198,65,72,71
1144,992,50,0,217
1145,0,0,0,0
1146,1674,679,90,207
1147,0,0,0,0
1148,1297,9,10,328
1149,1121,57,0,504
1150,1699,456,141,346
1151,1043,83,30,728
1152,770,77,39,685
1153,2505,81,21,725
1154,1746,198,159,802
1155,967,75,26,1056
1156,867,162,37,406
1157,1333,436,122,408
1158,3251,93,15,590
1159,1603,159,33,634
1160,1962,0,0,333
1161,990,0,0,665
1162,3052,154,102,299
1163,771,3,7,158
1164,1878,129,23,228
1165,1510,57,29,257
1166,977,235,268,154
1167,487,268,202,0
1168,1418,191,166,11
1169,387,11,13,152
1170,971,9,24,349
1171,960,92,20,282
1172,1295,185,291,0
1173,1349,0,0,0
1174,488,433,1447,0
1175,697,263,301,0
1176,1496,11,64,0
1177,1322,110,138,0
1178,538,21,108,21
1179,1065,72,124,6
1180,412,90,62,0
1181,1037,194,84,41
1182,952,0,0,0
1183,1600,0,88,7
1184,1698,64,368,129
1185,1369,21,10,0
1186,1900,145,373,106
1187,834,8,0,0
1188,687,355,347,125
1189,665,81,541,93
1190,1067,79,52,0
1191,881,4,0,11
1192,678,37,348,16
1193,356,76,82,229
1194,924,6,5,0
1195,1024,24,158,60
1196,706,5,0,0
1197,643,5,0,0
1198,486,36,85,14
1199,655,32,32,13
1200,738,26,0,8
1201,749,7,16,0
1202,408,221,280,0
1203,221,11,249,85
1204,491,162,304,216
1205,1051,0,0,0
1206,405,150,219,0
1207,356,6,237,0
1208,838,42,99,0
1209,1468,0,0,0
1210,1179,7,10,221
1211,1498,16,0,0
1212,906,0,28,7
1213,863,65,729,0
1214,837,0,0,4
1215,683,160,262,35
1216,1207,34,103,224
1217,288,72,545,11
1218,245,104,670,0
1219,1176,56,299,88
1220,1079,8,9,262
1221,992,0,0,0
1222,833,42,324,0
1223,796,0,0,0
1224,1115,0,0,0
1225,1361,0,0,0
1226,1211,10,0,0
1227,974,7,0,0
1228,534,158,207,125
1229,733,0,0,0
1230,757,23,4,0
1231,1206,63,58,0
1232,808,0,0,0
1233,1234,14,13,0
1234,1069,16,0,0
1235,596,0,0,0
1236,1915,10,0,25
1237,1730,17,541,0
1238,440,5,18,283
1239,791,40,119,30
1240,920,0,0,0
1241,896,28,0,171
1242,881,15,192,0
1243,1181,9,125,0
1244,822,115,394,0
1245,765,4,155,0
1246,1139,41,147,0
1247,1352,0,108,0
1248,882,23,64,0
1249,1117,0,10,0
1250,1584,82,288,0
1251,1986,0,0,0
1252,973,148,225,0
1253,1431,78,0,0
1254,1163,144,1538,0
1255,1012,49,846,0
1256,1234,199,1387,0
1257,1116,36,0,0
1258,977,0,0,0
1259,1401,128,12,106
1260,816,47,241,0
1261,1113,84,462,0
1262,800,0,32,0
1263,1376,0,40,0
1264,684,185,1460,180
1265,470,25,768,374
1266,439,5,0,353
1267,826,9,455,175
1268,651,18,217,0
